rosbagTimestamp,data
1582741186951208421,208
1582741186973614118,205
1582741186996282268,204
1582741187019605418,203
1582741187042237928,207
1582741187065689671,203
1582741187087068644,203
1582741187109703540,203
1582741187132152791,201
1582741187156204550,203
1582741187178170313,205
1582741187201326907,205
1582741187223462579,207
1582741187246216086,203
1582741187268880900,205
1582741187291727165,201
1582741187314601362,205
1582741187337766268,212
1582741187360548319,205
1582741187382883881,204
1582741187405567333,202
1582741187428549521,204
1582741187450707244,206
1582741187472540082,202
1582741187495687086,201
1582741187518834780,201
1582741187541696839,201
1582741187564801894,204
1582741187587292521,205
1582741187610464191,203
1582741187633564583,199
1582741187656117292,206
1582741187679639918,206
1582741187702090838,206
1582741187724668293,205
1582741187747109182,211
1582741187769379137,212
1582741187793247336,209
1582741187815843861,204
1582741187838436361,205
1582741187861101400,205
1582741187883412044,204
1582741187907115667,207
1582741187928830688,203
1582741187951497524,205
1582741187975446128,203
1582741187998020411,204
1582741188020468571,204
1582741188043285138,206
1582741188066039007,202
1582741188088180928,206
1582741188112100286,213
1582741188133596215,209
1582741188156309741,205
1582741188180316811,204
1582741188203227063,204
1582741188224471959,203
1582741188248532810,197
1582741188271165229,203
1582741188293598015,203
1582741188315711348,209
1582741188338462588,208
1582741188361954210,201
1582741188384472709,204
1582741188408729629,206
1582741188430157203,209
1582741188452292798,209
1582741188476047889,208
1582741188498847024,205
1582741188521299668,201
1582741188544086178,202
1582741188566649696,206
1582741188590406899,206
1582741188612562866,203
1582741188635339960,206
1582741188657899882,202
1582741188680629738,204
1582741188703489607,209
1582741188726299422,205
1582741188748959639,205
1582741188771515922,209
1582741188795447650,214
1582741188817107165,202
1582741188839810062,201
1582741188863484462,205
1582741188885861524,208
1582741188908310603,208
1582741188930735877,203
1582741188954523795,202
1582741188977025204,200
1582741188999443112,204
1582741189021907443,205
1582741189044496476,203
1582741189067732346,211
1582741189091194813,215
1582741189112209282,207
1582741189135951930,203
1582741189158584958,208
1582741189181845701,208
1582741189203400033,208
1582741189226912535,207
1582741189250108534,212
1582741189272929753,203
1582741189295540240,203
1582741189317865412,199
1582741189340264560,206
1582741189363936765,206
1582741189386389810,208
1582741189409336354,208
1582741189431392454,203
1582741189456118028,205
1582741189478239875,206
1582741189499863832,206
1582741189523530372,203
1582741189545754283,203
1582741189569265040,209
1582741189591435720,208
1582741189613739859,210
1582741189637558637,213
1582741189660270867,209
1582741189681942752,205
1582741189704651839,209
1582741189728542063,205
1582741189751288138,206
1582741189773464517,202
1582741189796042642,195
1582741189818900115,203
1582741189841405195,204
1582741189865503130,204
1582741189887035429,204
1582741189909661924,209
1582741189932746418,208
1582741189956468289,211
1582741189977527444,207
1582741190000928571,205
1582741190023425092,201
1582741190047278810,206
1582741190069922860,210
1582741190091833183,210
1582741190115490962,209
1582741190138025036,207
1582741190160815750,206
1582741190182420428,198
1582741190206701731,205
1582741190228599550,209
1582741190251370022,204
1582741190273727520,202
1582741190296541121,206
1582741190320011185,207
1582741190342443855,204
1582741190365147587,208
1582741190387586226,204
1582741190410530583,207
1582741190434081030,210
1582741190457000115,207
1582741190478388728,205
1582741190502435981,209
1582741190525607038,206
1582741190548318958,208
1582741190569877710,203
