rosbagTimestamp,data
1582738937478576072,221
1582738937499493251,224
1582738937521627931,224
1582738937543666369,221
1582738937567148716,223
1582738937590616363,226
1582738937613330461,226
1582738937636928298,226
1582738937657758955,223
1582738937681444699,229
1582738937703331271,227
1582738937727303229,221
1582738937749311683,227
1582738937771900390,227
1582738937795808671,223
1582738937817382093,222
1582738937840935553,222
1582738937863340044,224
1582738937886387508,226
1582738937907794635,216
1582738937930785186,221
1582738937954219806,224
1582738937976506833,227
1582738937999527482,218
1582738938022548065,214
1582738938045641457,219
1582738938067865219,228
1582738938090775012,224
1582738938113813813,226
1582738938136344237,224
1582738938159108733,224
1582738938182817410,220
1582738938204801211,228
1582738938227826069,226
1582738938251224433,227
1582738938273554463,219
1582738938294481501,219
1582738938317580043,221
1582738938341560326,223
1582738938364579925,224
1582738938387019998,221
1582738938409791839,224
1582738938432244855,220
1582738938455354091,223
1582738938478235219,224
1582738938501281542,227
1582738938522681321,225
1582738938546724473,227
1582738938567436655,228
1582738938591709314,227
1582738938614610225,227
1582738938637640803,223
1582738938660086196,222
1582738938682716948,222
1582738938706212363,222
1582738938728245018,223
1582738938750528018,228
1582738938773728165,228
1582738938796097883,228
1582738938819961687,220
1582738938841950769,224
1582738938864211130,224
1582738938887053782,221
1582738938910007428,222
1582738938934636068,218
1582738938955904150,222
1582738938977653611,229
1582738939000507489,220
1582738939024905355,220
1582738939047507100,226
1582738939069623858,223
1582738939092276837,230
1582738939115418800,221
1582738939137401306,226
1582738939160527800,222
1582738939183447000,222
1582738939207663954,225
1582738939228789437,224
1582738939251646169,227
1582738939274444856,223
1582738939297021949,230
1582738939318778628,222
1582738939341749378,221
1582738939365655702,225
1582738939387953685,221
1582738939412344792,221
1582738939432731970,225
1582738939455709241,224
1582738939479935089,223
1582738939501923525,223
1582738939524583823,226
1582738939547419933,219
1582738939570544484,218
1582738939593802776,222
1582738939615698507,219
1582738939639267781,225
1582738939661552398,222
1582738939684279097,226
1582738939705706429,229
1582738939730285574,226
1582738939752872998,226
1582738939775374659,229
1582738939797261331,223
1582738939820287920,218
1582738939843681018,216
1582738939867417049,218
1582738939888793962,222
1582738939911620848,229
1582738939933755750,222
1582738939956996345,221
1582738939978633448,224
1582738940002998057,219
1582738940025749365,215
1582738940047538494,223
1582738940070928956,219
1582738940093714612,224
1582738940117009405,221
1582738940140204353,221
1582738940161831522,224
1582738940183766844,214
1582738940207064126,216
1582738940230387233,219
1582738940253198246,218
1582738940275185043,213
1582738940298119145,211
1582738940320868121,211
1582738940344031018,217
1582738940366060353,216
1582738940390112702,208
1582738940411619316,214
1582738940435929372,213
1582738940457476866,217
1582738940480613410,210
1582738940503960879,214
1582738940527637209,212
1582738940549630004,215
1582738940571009560,209
1582738940594551787,216
1582738940617892860,220
1582738940640439344,220
1582738940662533056,212
1582738940684847633,208
1582738940708137031,208
1582738940731245897,213
1582738940754435464,209
1582738940777144357,210
1582738940798786169,210
1582738940822907623,217
1582738940844613614,217
1582738940868328263,217
1582738940891304076,212
1582738940914155223,210
1582738940935858232,210
1582738940958444482,214
1582738940981364189,216
1582738941004033471,207
1582738941026184771,211
1582738941049624490,208
1582738941073007004,208
1582738941095645925,212
1582738941117961248,209
1582738941140309920,210
1582738941162574797,206
1582738941184970127,208
1582738941206501203,208
1582738941229715550,212
1582738941253015396,209
1582738941275835805,213
1582738941298811002,204
1582738941320627408,204
1582738941343640206,200
1582738941366700312,201
1582738941389782510,202
1582738941411539832,203
1582738941434696061,204
1582738941457689604,198
1582738941480802969,200
1582738941502681104,204
1582738941525580024,211
1582738941548137195,209
1582738941571228896,207
1582738941594166143,207
1582738941617023653,205
1582738941640074063,205
1582738941662719253,205
1582738941684322114,208
1582738941708521038,202
1582738941730619901,204
1582738941753424469,197
1582738941776400965,205
1582738941799359646,205
1582738941822308156,205
1582738941844662473,202
1582738941867433894,209
1582738941890174174,206
1582738941913006612,210
1582738941936150820,202
1582738941958276710,207
1582738941981153758,207
1582738942003904634,207
1582738942026866803,205
1582738942049812994,204
1582738942071689734,211
1582738942094695828,207
1582738942117875891,205
1582738942140928349,202
1582738942162929502,200
1582738942185921413,204
1582738942209037128,202
1582738942231937893,206
1582738942254007381,211
1582738942277053067,197
1582738942300211893,202
1582738942322728766,203
1582738942344559177,207
1582738942367591701,209
1582738942390663457,208
1582738942413760082,208
1582738942435655908,208
1582738942458777189,204
1582738942482007279,206
1582738942505444589,200
1582738942527361040,206
1582738942550410970,206
1582738942572289103,201
1582738942595599259,205
1582738942618645882,205
1582738942640429320,205
1582738942664173521,201
1582738942687242325,205
1582738942710220796,206
1582738942731937717,208
1582738942754956159,204
1582738942777833704,208
1582738942801198269,204
1582738942823372013,207
1582738942845285661,203
1582738942868617351,202
1582738942891518577,210
1582738942913615586,202
1582738942936716169,206
1582738942959948740,202
1582738942982829227,197
1582738943005619555,200
1582738943027399517,207
1582738943050357603,205
1582738943073226286,205
1582738943096296479,207
1582738943118275629,205
1582738943141385069,209
1582738943164463772,204
1582738943187555262,207
1582738943209768999,208
1582738943232759967,205
1582738943255898671,204
1582738943279010585,208
1582738943300992105,206
1582738943324260658,202
1582738943347306185,203
1582738943370303151,203
1582738943392137072,204
1582738943415329260,204
1582738943438307907,205
1582738943461494619,205
1582738943482549080,207
1582738943505750844,206
1582738943528906193,204
1582738943552165016,206
1582738943574050572,198
1582738943597331447,193
1582738943619407618,203
1582738943642681746,202
1582738943665814483,208
1582738943687759174,201
1582738943710922702,205
1582738943734181118,207
1582738943757256172,197
1582738943778556709,209
1582738943801556016,211
1582738943824600855,206
1582738943847564446,206
1582738943869829140,201
1582738943892655999,204
1582738943915420223,207
1582738943938245178,207
1582738943961268807,210
1582738943984311230,206
1582738944007088907,206
1582738944030257090,206
1582738944052236537,200
1582738944075329420,206
1582738944097938812,210
1582738944120613219,206
1582738944143432109,204
1582738944165388452,201
1582738944190134214,203
1582738944213396530,204
1582738944236312702,204
1582738944258515547,202
1582738944282038501,203
1582738944305075862,207
1582738944327026716,203
1582738944349165764,205
1582738944373805224,210
1582738944396075980,202
1582738944418612455,200
1582738944440611695,204
1582738944464092431,207
1582738944487559810,207
1582738944510378107,203
1582738944530960322,207
1582738944554670463,208
1582738944577567465,206
1582738944600817191,209
1582738944622100386,210
1582738944645739377,206
1582738944668821244,204
1582738944691676501,208
1582738944713409079,202
1582738944735726680,205
1582738944759692490,211
1582738944782842657,207
1582738944804794016,202
1582738944826933548,202
1582738944849867649,201
1582738944873403355,201
1582738944896188079,205
1582738944918686790,203
1582738944942551367,210
1582738944965730466,203
1582738944987721672,207
1582738945009250656,204
1582738945033830626,210
1582738945055872150,206
1582738945078527698,206
1582738945100356267,208
1582738945123259597,199
1582738945146091175,202
1582738945168824413,203
1582738945190589167,205
1582738945214595121,204
1582738945236890770,208
1582738945259865594,206
1582738945282316307,204
1582738945305585601,204
1582738945328842289,204
1582738945352256195,200
1582738945374158405,200
1582738945396131602,202
1582738945419260316,207
1582738945442210601,209
1582738945464964828,209
1582738945487254157,209
1582738945510247919,205
1582738945534314957,204
1582738945555688978,201
1582738945578308668,204
1582738945601069135,204
1582738945623663640,199
1582738945647737639,204
1582738945669291637,209
1582738945692468146,204
1582738945716175619,200
1582738945738381499,201
1582738945759829168,205
1582738945783593948,209
1582738945806780820,209
1582738945829046669,203
1582738945851157417,203
1582738945874363211,202
1582738945898201387,206
1582738945920708155,204
1582738945942245115,203
1582738945966224390,201
1582738945988057920,205
1582738946011523885,203
1582738946035178583,207
1582738946056651313,204
1582738946080800753,201
1582738946102866672,205
1582738946125823240,213
1582738946147702653,209
1582738946170867995,209
1582738946193423546,200
1582738946216431998,204
1582738946238051969,204
1582738946261607588,207
1582738946284077732,207
1582738946307700112,207
1582738946329193183,196
1582738946352197930,202
1582738946375793336,200
1582738946399143040,208
1582738946419715101,204
1582738946444187058,201
1582738946467671275,203
1582738946490222378,206
1582738946511871709,206
1582738946534558996,206
1582738946558379752,209
1582738946580862941,203
1582738946603280826,204
1582738946626028825,201
1582738946649177751,208
1582738946671308889,205
1582738946694876027,205
1582738946717063208,210
1582738946740121366,208
1582738946762741765,204
1582738946785909112,205
1582738946808153361,201
1582738946830640821,201
1582738946853099820,202
1582738946877500539,207
1582738946898876796,205
1582738946922187813,201
1582738946944239822,209
1582738946968480169,202
1582738946990498548,205
1582738947013392970,201
1582738947036909403,204
1582738947059659136,203
1582738947080607616,206
1582738947102628289,205
1582738947127613251,203
1582738947149717771,203
1582738947171155004,201
1582738947193536265,206
1582738947217376662,201
1582738947239837755,204
1582738947263787520,208
1582738947285784755,204
1582738947308825590,210
1582738947332260869,206
1582738947354146791,202
1582738947376802996,208
1582738947400119836,201
1582738947423202375,205
1582738947445671774,205
1582738947467926190,204
1582738947490586349,204
1582738947514261787,208
1582738947536901344,213
1582738947558871728,206
1582738947582114358,206
1582738947605390969,202
1582738947626717462,209
1582738947649548113,209
1582738947672560854,209
1582738947695388107,206
1582738947718915045,204
1582738947740913825,207
1582738947762886078,206
1582738947786041829,202
1582738947809572748,204
1582738947831863693,198
1582738947854737664,210
1582738947877783342,202
1582738947901011718,199
1582738947923209330,202
1582738947945739592,205
1582738947969419786,205
1582738947991002938,200
1582738948015421833,212
1582738948036539879,208
1582738948060314811,200
1582738948082462954,201
1582738948105943915,203
1582738948126688494,206
1582738948150910424,204
1582738948173035237,207
1582738948196654034,200
1582738948218306462,206
1582738948241862091,202
1582738948264203785,204
1582738948286941367,206
1582738948310231642,202
1582738948333817123,202
1582738948355900758,205
1582738948378385528,205
1582738948399821834,206
1582738948423590871,206
1582738948447413781,202
1582738948469219117,204
1582738948493085233,206
1582738948513854889,205
1582738948536947270,207
1582738948560157606,208
1582738948583474179,209
1582738948605464414,207
1582738948628761904,209
1582738948651909629,206
1582738948674929201,207
1582738948697209608,204
1582738948720012077,204
1582738948743248953,208
1582738948767115336,204
1582738948789095642,205
1582738948810183619,205
1582738948833147120,198
1582738948855986624,205
1582738948878174003,208
1582738948901263362,204
1582738948924380881,207
1582738948947325702,203
1582738948969004608,205
1582738948992751882,207
1582738949015643219,203
1582738949039012630,203
1582738949061337374,207
1582738949084352997,207
1582738949106695953,203
1582738949129945988,196
1582738949153648844,208
1582738949175881745,208
1582738949197700713,204
1582738949220238007,199
1582738949243014663,204
1582738949265227794,206
1582738949289354785,206
1582738949311551788,206
1582738949334951000,203
1582738949357455106,205
1582738949379849061,208
1582738949403097703,204
1582738949426910083,208
1582738949448499252,211
1582738949470247656,208
1582738949494075576,200
1582738949516273039,198
1582738949538115444,199
1582738949560952400,205
1582738949584395477,205
1582738949607571168,205
1582738949629890072,205
1582738949652256361,201
1582738949675462996,209
1582738949699733740,205
1582738949722809081,201
1582738949744123560,203
1582738949766190281,202
1582738949790296912,210
1582738949812826766,204
1582738949835023700,204
1582738949858179005,202
1582738949881140755,202
1582738949904172293,211
1582738949926962943,208
1582738949948888440,208
1582738949971987925,200
1582738949994931131,208
1582738950016325613,204
1582738950038868259,197
1582738950062823447,203
1582738950085704560,207
1582738950106775924,205
1582738950130791868,206
1582738950152816519,208
1582738950176029746,202
1582738950199001358,204
1582738950222445410,207
1582738950243948930,203
1582738950267119918,205
1582738950290311030,208
1582738950312835903,207
1582738950335869749,198
1582738950359030329,205
1582738950382039222,205
1582738950403866643,209
1582738950427206801,209
1582738950450678893,211
1582738950473246601,213
1582738950494462821,213
1582738950517624012,224
1582738950540744197,252
1582738950564730723,299
1582738950585167642,336
1582738950608441808,373
1582738950631594959,389
1582738950654977985,421
1582738950676705285,457
1582738950699391484,489
1582738950722177190,513
1582738950745875215,548
1582738950767890246,579
1582738950790953417,616
1582738950814082122,658
1582738950837012957,695
1582738950859817744,735
1582738950881616322,744
1582738950904649196,759
1582738950928429825,758
1582738950951219641,763
1582738950973177952,771
1582738950996313803,767
1582738951018001573,769
1582738951041861003,775
1582738951063690796,772
1582738951087027102,777
1582738951109295171,777
1582738951133107034,774
1582738951154712855,768
