rosbagTimestamp,data
1582582078919076823,231
1582582078939239509,230
1582582078961875000,234
1582582078984395894,233
1582582079007161324,231
1582582079029968431,231
1582582079051621297,231
1582582079073773110,231
1582582079096842843,235
1582582079119523430,234
1582582079142927954,227
1582582079165666749,227
1582582079189532068,228
1582582079212046167,228
1582582079235493339,224
1582582079257079744,230
1582582079280022078,233
1582582079301997932,229
1582582079325220999,230
1582582079348522083,230
1582582079369793145,223
1582582079394070295,231
1582582079417962364,232
1582582079440635979,229
1582582079461861952,237
1582582079485781805,235
1582582079508673607,229
1582582079531832403,230
1582582079551966397,233
1582582079575119220,230
1582582079597955959,233
1582582079621248653,230
1582582079643892677,233
1582582079666536688,229
1582582079691271047,225
1582582079713134388,227
1582582079735426750,229
1582582079758162524,230
1582582079780570607,226
1582582079803583560,227
1582582079825401181,230
1582582079848950482,233
1582582079871463035,237
1582582079894818644,230
1582582079916752230,231
1582582079939159627,235
1582582079962153136,232
1582582079985373761,228
1582582080008723168,228
1582582080031243758,224
1582582080053206088,229
1582582080076444386,228
1582582080099665364,234
1582582080120541398,229
1582582080143960687,231
1582582080168728470,231
1582582080191152547,228
1582582080213547987,224
1582582080236258257,230
1582582080259817022,229
1582582080281598872,230
1582582080303120759,234
1582582080326590629,228
1582582080348674292,234
1582582080372771112,236
1582582080394133142,237
1582582080417912146,229
1582582080441013694,229
1582582080463654302,227
1582582080487500361,230
1582582080508853457,229
1582582080532339920,222
1582582080553988158,227
1582582080577110054,230
1582582080599217014,230
1582582080621743102,228
1582582080645861129,231
1582582080670184236,229
1582582080691785031,227
1582582080714809977,228
1582582080737390858,236
1582582080760246875,233
1582582080783122081,229
1582582080804503680,230
1582582080826909479,226
1582582080849838700,230
1582582080872014562,228
1582582080895351362,227
1582582080919302498,233
1582582080941649476,229
1582582080964311277,240
1582582080987017215,234
1582582081010633582,230
1582582081033451552,225
1582582081053848820,223
1582582081077279657,232
1582582081100521487,228
1582582081122835794,232
1582582081146398119,234
1582582081168732408,229
1582582081192785098,223
1582582081215404177,223
1582582081237667712,230
1582582081260139217,228
1582582081283686960,229
1582582081305183236,233
1582582081328596196,227
1582582081350850285,227
1582582081373363346,227
1582582081396455664,229
1582582081419983578,232
1582582081442786120,225
1582582081465000271,226
1582582081488637886,230
1582582081511223624,237
1582582081532715273,238
1582582081555577498,233
1582582081577592999,233
1582582081601083266,233
1582582081623068254,233
1582582081645854887,229
1582582081670368276,233
1582582081693508209,234
1582582081714812529,230
1582582081738762457,221
1582582081760896936,228
1582582081784288198,231
1582582081806726140,230
1582582081827784222,230
1582582081850911792,227
1582582081874114603,232
1582582081896870697,227
1582582081919480306,228
1582582081942903836,236
1582582081965883348,233
1582582081989504876,235
1582582082011703128,231
1582582082034852558,229
1582582082056718857,234
1582582082078852095,234
1582582082101474885,235
1582582082124292486,231
1582582082147528160,232
1582582082171280508,233
1582582082193003467,239
1582582082216894843,235
1582582082239639837,232
1582582082261953325,232
1582582082284475691,229
1582582082306084894,229
1582582082329240912,233
1582582082352335735,231
1582582082374757830,230
1582582082397130400,224
1582582082420943275,229
1582582082444113140,228
1582582082467857668,227
1582582082489360252,230
1582582082512326423,229
1582582082535211771,232
1582582082556754076,228
1582582082578729904,232
1582582082603174438,228
1582582082624550922,230
1582582082649083347,231
1582582082671843304,230
1582582082694011166,230
1582582082717701751,233
1582582082740500723,227
1582582082762621091,226
1582582082785357990,226
1582582082807187117,223
1582582082830592274,228
1582582082852120774,233
1582582082875861435,237
1582582082898543814,229
1582582082921255944,229
1582582082945671636,226
1582582082966869797,229
1582582082990897813,228
1582582083013406716,232
1582582083036633515,230
1582582083057770391,230
1582582083080028834,233
1582582083103974041,235
1582582083125844228,235
1582582083148734144,228
1582582083171931640,233
1582582083195846483,233
1582582083218068611,231
1582582083240801236,229
1582582083263190597,226
1582582083286791114,229
1582582083308327206,231
1582582083330245552,230
1582582083352957886,227
1582582083375566046,233
1582582083399024991,229
1582582083421159388,233
1582582083445583336,231
1582582083468342523,230
1582582083491855214,227
1582582083513391771,233
1582582083536878891,229
1582582083558770294,229
1582582083581063682,230
1582582083604631757,230
1582582083625957860,233
1582582083649176990,231
1582582083673109285,231
1582582083696687976,229
1582582083718068896,229
1582582083740724734,225
1582582083764282231,226
1582582083787729354,228
1582582083808886296,228
1582582083831355051,227
1582582083853773598,227
1582582083877774465,225
1582582083899678492,229
1582582083923209334,229
1582582083946768400,235
1582582083969083578,229
1582582083991600199,225
1582582084014026304,229
1582582084037608255,231
1582582084059861431,224
1582582084081096182,225
1582582084104021784,228
1582582084127389354,228
1582582084150569740,230
1582582084173136244,228
1582582084195846715,232
1582582084218970246,230
1582582084242944792,230
1582582084265566095,222
1582582084287007888,225
1582582084309874373,228
1582582084332096899,232
1582582084354945931,230
1582582084376586717,233
1582582084400270812,230
1582582084424808446,233
1582582084447401591,228
1582582084468783657,229
1582582084492170825,231
1582582084514732433,230
1582582084538706977,234
1582582084559681482,230
1582582084581871769,230
1582582084605321089,233
1582582084628071690,226
1582582084650878170,231
1582582084673798943,230
1582582084697250178,234
1582582084719859808,229
1582582084742119360,236
1582582084764961089,224
1582582084788574912,225
1582582084810205741,225
1582582084831906815,226
1582582084855048532,227
1582582084877998608,227
1582582084901610183,231
1582582084925092172,231
1582582084947084533,229
1582582084970965276,229
1582582084993309389,224
1582582085016297405,228
1582582085037838520,230
1582582085060279317,231
1582582085082616099,233
1582582085106084095,236
1582582085127653276,231
1582582085151459378,228
1582582085175443530,231
1582582085198100001,233
1582582085220713327,234
1582582085242953908,234
1582582085266775573,232
1582582085289495525,232
1582582085309875143,230
1582582085333322977,229
1582582085356994382,228
1582582085379410218,227
1582582085402115920,231
1582582085425035512,229
1582582085448537046,229
1582582085471135929,233
1582582085494825746,227
1582582085516064858,234
1582582085539874328,234
1582582085561397562,225
1582582085583682673,233
1582582085606022142,227
1582582085628770434,230
1582582085651988105,228
1582582085676331134,228
1582582085698709458,229
1582582085721685486,229
1582582085744270526,227
1582582085767758915,225
1582582085790483169,234
1582582085811680426,233
1582582085834004102,236
1582582085857082431,229
1582582085878893208,231
1582582085902044806,226
1582582085925957719,229
1582582085949345374,233
1582582085971104782,229
1582582085994786119,229
1582582086017009806,231
1582582086040754274,227
1582582086062138615,233
1582582086084216423,228
1582582086107349076,231
1582582086130987253,228
1582582086153458701,224
1582582086175018985,223
1582582086199207349,225
1582582086222571623,226
1582582086244903877,229
1582582086267427179,229
1582582086289792840,230
1582582086312304238,229
1582582086335981501,229
1582582086356865983,227
1582582086380715886,231
1582582086403814201,228
1582582086426959304,229
1582582086448933942,227
1582582086472150448,231
1582582086495709708,235
1582582086518810162,227
1582582086539862958,230
1582582086562544742,230
1582582086585294116,230
1582582086608654780,230
1582582086630019249,228
1582582086653031361,235
1582582086676644228,231
1582582086700814288,234
1582582086723734479,234
1582582086745156061,226
1582582086768194912,229
1582582086792067509,231
1582582086813668257,236
1582582086835524943,230
1582582086857743608,228
1582582086881508399,227
1582582086903964685,231
1582582086927447688,228
1582582086950966604,231
1582582086973388094,230
1582582086995948715,232
1582582087018319878,231
1582582087040967170,228
1582582087063801207,228
1582582087086449008,229
1582582087108574558,229
1582582087131650378,226
1582582087154191395,223
1582582087178322525,235
1582582087200171884,238
1582582087223659975,229
1582582087246804096,230
1582582087269016879,226
1582582087290947926,232
1582582087313613748,230
1582582087336056774,229
1582582087359468540,231
1582582087382460066,232
1582582087403568187,230
1582582087428162887,229
1582582087451259883,228
1582582087473995729,233
1582582087496489207,233
1582582087519830202,237
1582582087541864683,225
1582582087563784047,224
1582582087586415720,231
1582582087608949445,219
1582582087632646632,219
1582582087655359283,221
1582582087678287501,221
1582582087700829686,218
1582582087724302156,223
1582582087747724731,218
1582582087769059731,203
1582582087792664759,208
1582582087814643073,211
1582582087837298086,213
1582582087860099197,214
1582582087882600818,214
1582582087906069480,214
1582582087928860204,210
1582582087951984265,211
1582582087974514495,213
1582582087997047248,217
1582582088020063674,217
1582582088043641879,216
1582582088064493618,216
1582582088087099913,219
1582582088110639785,218
1582582088132896634,216
1582582088154899698,211
1582582088178770229,214
1582582088201781258,212
1582582088225447414,209
1582582088247827159,215
1582582088270462645,215
1582582088292746315,209
1582582088316006829,213
1582582088337176926,208
1582582088360391654,213
1582582088383588420,218
1582582088406625310,223
1582582088429688438,213
1582582088452092540,209
1582582088475027676,213
1582582088498220679,219
1582582088521889269,218
1582582088542966419,217
1582582088565452544,217
1582582088587835741,217
1582582088610925593,221
1582582088633200573,216
1582582088656339628,216
1582582088679414740,212
1582582088703617322,217
1582582088725238370,216
1582582088748851499,213
1582582088771623428,217
1582582088794754148,219
1582582088815621789,217
1582582088838019768,217
1582582088861260347,216
1582582088884054366,217
1582582088906024931,219
1582582088930084929,215
1582582088954203686,216
1582582088976765313,220
1582582088999462594,213
1582582089021014346,213
1582582089044849632,213
1582582089066162146,217
1582582089088847650,218
1582582089110850066,216
1582582089133945437,214
1582582089157576187,218
1582582089180654508,218
1582582089202839517,216
1582582089226712058,216
1582582089249292669,216
1582582089271792614,216
1582582089294072368,216
1582582089316787824,214
1582582089339478910,216
1582582089362450083,220
1582582089384079300,216
1582582089408105938,217
1582582089431184468,217
1582582089454925580,215
1582582089476407405,216
1582582089498824611,217
1582582089522828792,219
1582582089545666336,221
1582582089567009069,213
1582582089589781658,209
1582582089612075615,214
1582582089635216281,215
1582582089657880626,216
1582582089680137624,215
1582582089704754419,220
1582582089727698660,220
1582582089749823986,220
1582582089772291439,219
1582582089796306708,216
1582582089817671867,219
1582582089839829505,218
1582582089861847142,214
1582582089886346795,213
1582582089909268779,213
1582582089931882797,217
1582582089953845643,217
1582582089977391629,209
1582582089999975264,213
1582582090022885667,214
1582582090045350208,212
1582582090068622818,216
1582582090090492264,214
1582582090112949183,212
1582582090134967430,212
1582582090158672185,220
1582582090183092603,212
1582582090205691417,217
1582582090227131805,209
1582582090250085435,221
1582582090273768724,221
1582582090296094836,216
1582582090319351651,215
1582582090339753759,213
1582582090362647862,221
1582582090386298229,215
1582582090410232476,212
1582582090431514495,211
1582582090455428246,212
1582582090478396122,218
1582582090502286488,212
1582582090523604485,218
1582582090546826724,219
1582582090569872560,217
1582582090591447999,217
1582582090613359502,215
1582582090636203650,212
1582582090659180798,218
1582582090681948232,220
1582582090705799428,219
1582582090728136327,214
1582582090751084547,214
1582582090774767256,218
1582582090796148440,216
1582582090819715312,214
1582582090841765855,213
1582582090864092373,209
1582582090886303222,211
1582582090908891588,212
1582582090931708303,216
1582582090956843073,217
1582582090979093166,217
1582582091001657317,214
1582582091024020821,218
1582582091047833173,215
1582582091070204577,214
1582582091091225333,216
1582582091114578177,209
1582582091138539744,207
1582582091159934517,219
1582582091182402725,219
1582582091206850019,212
1582582091229093713,216
1582582091252895009,220
1582582091274035473,208
1582582091297911929,215
1582582091320125813,213
1582582091342020806,208
1582582091364120996,209
1582582091387466225,210
1582582091410332735,216
1582582091433377033,218
1582582091455904975,215
1582582091479810938,222
1582582091502180567,217
1582582091525628312,221
1582582091548865429,214
1582582091569689722,214
1582582091591757992,216
1582582091614778262,208
1582582091638103837,210
1582582091660829377,220
1582582091683762393,214
1582582091707382581,214
1582582091730107866,214
1582582091752697815,208
1582582091775265550,216
1582582091798840533,216
1582582091820166349,213
1582582091842530312,216
1582582091865658460,214
1582582091888108182,213
1582582091911639327,217
1582582091934029854,218
1582582091957032707,215
1582582091980872999,213
1582582092003087012,213
1582582092025980661,213
1582582092048148971,213
1582582092071644299,215
1582582092093337809,223
1582582092116712626,214
1582582092137984034,212
1582582092162135808,213
1582582092185045788,210
1582582092208307673,214
1582582092230495080,209
1582582092252915063,217
1582582092276236799,216
1582582092300604168,216
1582582092321682611,212
1582582092343566961,212
1582582092366520486,216
1582582092389837071,216
1582582092413474974,218
1582582092435933737,215
1582582092458894207,206
1582582092481607251,210
1582582092505212218,210
1582582092527363327,205
1582582092549877125,220
1582582092572079209,231
1582582092594056294,241
1582582092616023308,253
1582582092638964377,275
1582582092662374476,311
1582582092685940180,347
1582582092709489086,391
1582582092731641063,427
1582582092754064362,464
1582582092777082878,504
1582582092799771327,550
1582582092821670869,596
1582582092844831183,640
1582582092866832366,684
1582582092891145712,726
1582582092912482636,772
1582582092936950510,814
1582582092959593816,852
1582582092982171095,890
1582582093005309784,916
1582582093027004248,921
1582582093051708175,920
1582582093072968124,919
1582582093094695050,913
1582582093116635125,917
1582582093140978506,909
1582582093163546366,901
1582582093186103845,905
1582582093209653267,894
1582582093232288795,896
1582582093255916511,893
1582582093278763907,877
1582582093300165413,877
1582582093323684525,874
1582582093344959153,868
1582582093368554584,865
1582582093391554061,850
1582582093412975860,826
1582582093437975297,818
1582582093460259817,819
1582582093483586918,821
1582582093505237438,813
1582582093528998144,814
1582582093551688719,807
1582582093574056858,810
1582582093595154573,814
1582582093618339824,806
1582582093641003072,802
1582582093664478827,795
1582582093687716603,804
1582582093710749986,804
1582582093733380664,808
1582582093755961729,812
1582582093779812101,810
1582582093801080678,807
1582582093824139795,811
1582582093846481407,800
1582582093869794354,807
1582582093891222843,803
1582582093914438738,809
1582582093936876064,809
1582582093961406666,805
1582582093983750273,813
1582582094006409227,810
1582582094029924645,810
1582582094053282606,810
1582582094074881019,806
1582582094096807606,814
1582582094118687930,810
1582582094143117225,807
1582582094165427637,817
1582582094188249844,807
1582582094211712231,815
1582582094234115017,813
1582582094257709582,815
1582582094279801749,819
1582582094302846774,821
1582582094325376985,813
1582582094347129984,821
1582582094370610670,821
1582582094392895465,816
1582582094415942906,816
1582582094438393670,818
1582582094461708900,818
1582582094484057946,821
1582582094507860690,819
1582582094530654062,826
1582582094553799787,817
1582582094574821494,823
1582582094597378241,822
1582582094620735968,829
1582582094643432696,828
1582582094665809817,830
1582582094688753992,824
1582582094712972819,834
1582582094736048685,824
1582582094758531954,827
1582582094781145214,823
1582582094803709564,831
1582582094826484105,831
1582582094847915043,827
1582582094870232791,827
1582582094894310096,817
1582582094916131484,824
1582582094940911495,824
1582582094962077546,813
1582582094985097201,819
1582582095008967595,812
1582582095031664241,804
1582582095053692271,807
1582582095076385044,818
1582582095098486317,822
1582582095121616707,818
1582582095144631411,818
1582582095167038698,811
1582582095190109351,812
1582582095212771343,816
1582582095236506274,816
1582582095258950560,816
1582582095281736341,820
1582582095305232510,820
1582582095327985067,816
1582582095348221341,814
