rosbagTimestamp,data
1582501726763610728,450
1582501726786009295,470
1582501726810673332,479
1582501726833867689,471
1582501726855852398,482
1582501726877469172,474
1582501726900440847,466
1582501726922914015,463
1582501726946428443,464
1582501726968846910,448
1582501726993091044,456
1582501727014950616,472
1582501727037161918,470
1582501727059018346,459
1582501727082073078,479
1582501727104984619,472
1582501727128177675,452
1582501727151864263,467
1582501727174729287,451
1582501727198457042,459
1582501727220314065,474
1582501727242762664,476
1582501727263658860,478
1582501727287254651,477
1582501727310190373,474
1582501727334346228,474
1582501727355822271,467
1582501727379442019,451
1582501727402627466,459
1582501727425184758,461
1582501727445390942,465
1582501727469432079,459
1582501727495924370,461
1582501727515485944,451
1582501727538179221,457
1582501727559689793,476
1582501727583498218,464
1582501727606900489,465
1582501727630133812,473
1582501727652045331,461
1582501727674032315,446
1582501727696861497,458
1582501727721200911,474
1582501727743188078,480
1582501727764860457,464
1582501727788996448,467
1582501727811484343,456
1582501727834030985,450
1582501727856436469,456
1582501727880347710,473
1582501727902618191,461
1582501727925602354,469
1582501727946954764,449
1582501727969770982,453
1582501727993158160,467
1582501728015750670,471
1582501728038638012,469
1582501728061044060,464
1582501728084103886,465
1582501728108644374,474
1582501728130240206,457
1582501728152999137,460
1582501728175090729,480
1582501728198652393,493
1582501728220978103,465
1582501728243202406,457
1582501728265623593,463
1582501728290081705,473
1582501728312702156,452
1582501728335494318,463
1582501728358492046,454
1582501728381186032,467
1582501728404806701,457
1582501728426258525,457
1582501728448304183,488
1582501728470858936,472
1582501728494034373,458
1582501728516919479,462
1582501728539044541,463
1582501728561682021,467
1582501728585979033,479
1582501728608173257,464
1582501728630110684,465
1582501728652797951,474
1582501728675996750,465
1582501728699616400,465
1582501728721523602,473
1582501728744152644,477
1582501728766778959,476
1582501728791064818,467
1582501728812385119,468
1582501728836530469,465
1582501728859047425,477
1582501728881489294,465
1582501728904861187,463
1582501728927634722,470
1582501728949188848,461
1582501728972489461,489
1582501728995052712,464
1582501729017771394,472
1582501729040447130,458
1582501729064161933,465
1582501729086638070,469
1582501729109720235,477
1582501729131554157,474
1582501729153552408,464
1582501729176939971,476
1582501729198660559,468
1582501729222952006,448
1582501729246251290,459
1582501729268579231,469
1582501729292793303,457
1582501729314333166,461
1582501729337467268,479
1582501729359491592,475
1582501729381839136,452
1582501729404416147,470
1582501729428158797,463
1582501729449560599,461
1582501729473452235,472
1582501729494919087,464
1582501729517639274,487
1582501729541139713,458
1582501729563606777,457
1582501729586583195,461
1582501729609328185,473
1582501729632162108,442
1582501729655033071,461
1582501729678718144,461
1582501729700240044,458
1582501729724577817,464
1582501729745611191,464
1582501729768830776,450
1582501729793503852,462
1582501729816342973,470
1582501729836953144,446
1582501729859892279,472
1582501729882363989,478
1582501729905198565,474
1582501729928022747,473
