Haptic Middle ,,,Haptic Thumb,,,Haptic Pointer,,,Object Placed,
rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data
1.58250318737923E+018,1037,,1.58250318737666E+018,-40,,1.58250318737794E+018,815,,1.58250318740818E+018,0
1.58250318740345E+018,1043,,1.5825031873997E+018,-33,,1.5825031874015E+018,818,,1.58250318750826E+018,0
1.58250318742725E+018,1040,,1.58250318742347E+018,-31,,1.58250318742529E+018,816,,1.58250318760855E+018,0
1.5825031874506E+018,1033,,1.58250318744645E+018,-31,,1.58250318744893E+018,813,,1.58250318770825E+018,0
1.58250318747025E+018,1045,,1.58250318746715E+018,-39,,1.58250318746864E+018,820,,1.58250318780866E+018,0
1.58250318749327E+018,1040,,1.58250318749066E+018,-35,,1.582503187492E+018,821,,1.58250318790819E+018,0
1.58250318751621E+018,1032,,1.58250318751335E+018,-36,,1.5825031875147E+018,821,,1.5825031880086E+018,0
1.58250318754035E+018,1028,,1.5825031875373E+018,-37,,1.58250318753868E+018,830,,1.58250318810842E+018,0
1.58250318756205E+018,1044,,1.5825031875589E+018,-34,,1.58250318756053E+018,822,,1.58250318820832E+018,0
1.58250318758543E+018,1036,,1.58250318758229E+018,-41,,1.58250318758383E+018,819,,1.5825031883084E+018,0
1.58250318760793E+018,1042,,1.58250318760458E+018,-30,,1.58250318760628E+018,813,,1.58250318840843E+018,0
1.58250318763523E+018,1038,,1.58250318762771E+018,-34,,1.58250318762972E+018,818,,1.58250318850883E+018,0
1.5825031876561E+018,1042,,1.58250318765187E+018,-36,,1.58250318765414E+018,811,,1.58250318860841E+018,0
1.58250318767682E+018,1034,,1.58250318767296E+018,-37,,1.58250318767503E+018,817,,1.58250318870821E+018,0
1.582503187699E+018,1037,,1.58250318769614E+018,-37,,1.58250318769757E+018,822,,1.58250318880855E+018,0
1.58250318772177E+018,1044,,1.5825031877189E+018,-34,,1.58250318772027E+018,824,,1.58250318890846E+018,0
1.58250318774388E+018,1052,,1.582503187741E+018,-34,,1.58250318774241E+018,812,,1.58250318900844E+018,0
1.5825031877672E+018,1036,,1.58250318776407E+018,-36,,1.58250318776562E+018,823,,1.58250318910872E+018,0
1.58250318778979E+018,1026,,1.58250318778693E+018,-41,,1.5825031877883E+018,821,,1.58250318920834E+018,0
1.58250318781359E+018,1033,,1.58250318781012E+018,-44,,1.58250318781191E+018,816,,1.58250318930878E+018,0
1.58250318783805E+018,1042,,1.58250318783381E+018,-35,,1.58250318783591E+018,814,,1.5825031894083E+018,0
1.58250318786105E+018,1039,,1.58250318785506E+018,-39,,1.58250318785729E+018,814,,1.58250318950881E+018,0
1.58250318788052E+018,1031,,1.58250318787742E+018,-41,,1.58250318787902E+018,824,,1.58250318960889E+018,0
1.58250318790324E+018,1027,,1.58250318790031E+018,-41,,1.58250318790175E+018,812,,1.58250318970828E+018,0
1.58250318792676E+018,1047,,1.58250318792386E+018,-34,,1.58250318792544E+018,818,,1.58250318980863E+018,0
1.58250318795026E+018,1052,,1.58250318794711E+018,-34,,1.58250318794881E+018,814,,1.58250318990837E+018,0
1.58250318797131E+018,1028,,1.58250318796847E+018,-35,,1.58250318796991E+018,815,,1.58250319000919E+018,0
1.58250318799477E+018,1050,,1.58250318799149E+018,-35,,1.58250318799308E+018,811,,1.58250319010875E+018,0
1.58250318801894E+018,1034,,1.58250318801449E+018,-36,,1.58250318801643E+018,811,,1.58250319020888E+018,0
