rosbagTimestamp,data
1582503187377944176,815
1582503187401495544,818
1582503187425292223,816
1582503187448925701,813
1582503187468639576,820
1582503187491998636,821
1582503187514695305,821
1582503187538676352,830
1582503187560533003,822
1582503187583827498,819
1582503187606275664,813
1582503187629720285,818
1582503187654137912,811
1582503187675028807,817
1582503187697574933,822
1582503187720265516,824
1582503187742406672,812
1582503187765620977,823
1582503187788302873,821
1582503187811908104,816
1582503187835912444,814
1582503187857288093,814
1582503187879018481,824
1582503187901751171,812
1582503187925444930,818
1582503187948805703,814
1582503187969905785,815
1582503187993075956,811
1582503188016432399,811
1582503188040945888,812
1582503188062334564,820
1582503188085329720,820
1582503188107913107,819
1582503188130610570,803
1582503188155352484,817
1582503188175518378,818
1582503188198501553,820
1582503188223022543,812
1582503188245663542,813
1582503188266439895,818
1582503188289840956,822
1582503188312203465,817
1582503188334918771,809
1582503188357181117,813
1582503188379610373,809
1582503188403058221,806
1582503188427142176,812
1582503188450210074,824
1582503188472495815,819
1582503188495671056,815
1582503188518041515,810
1582503188541197464,822
1582503188563362522,825
1582503188586260114,805
1582503188608850827,809
1582503188632387076,814
1582503188656029025,812
1582503188676936011,807
1582503188701520521,817
1582503188722562939,819
1582503188746294180,815
1582503188767331209,803
1582503188790884237,813
1582503188814019877,821
1582503188836997255,816
1582503188859708925,816
1582503188881461140,811
1582503188905012335,814
1582503188928244566,818
1582503188952024345,808
1582503188973134526,809
1582503188996327676,822
1582503189019432858,816
1582503189042273302,808
1582503189065274320,805
1582503189088349714,817
1582503189109899993,807
1582503189132877917,810
1582503189156473232,800
1582503189178208558,806
1582503189200932196,814
1582503189224472006,818
1582503189247416886,812
1582503189270430079,816
1582503189292766446,808
1582503189315303656,814
1582503189338805331,810
1582503189361002916,823
1582503189384148736,811
1582503189405932546,812
1582503189429217568,818
1582503189451992578,813
1582503189473845659,812
1582503189496997377,807
1582503189519928474,808
1582503189543000989,809
1582503189566152030,807
1582503189588210429,807
1582503189611656578,802
1582503189634549685,799
1582503189658319648,814
1582503189679209023,818
1582503189702825406,811
1582503189726632546,807
1582503189748294944,811
1582503189770259981,811
1582503189795489109,815
1582503189815737063,819
1582503189838362739,813
1582503189864071398,815
1582503189884789183,815
1582503189907243703,812
1582503189930513122,810
1582503189953421791,807
1582503189975143188,802
1582503189999382112,808
1582503190020721705,812
1582503190044406658,811
1582503190066880484,813
1582503190089781348,801
1582503190111908109,805
1582503190137741541,814
1582503190158264469,816
1582503190180387586,815
1582503190202726408,804
1582503190225911964,809
1582503190249381331,809
1582503190271200247,813
1582503190294686695,808
1582503190316836354,805
1582503190340333824,811
1582503190363008548,812
1582503190385736412,808
1582503190408037754,815
1582503190431548846,816
1582503190455404671,814
1582503190477000440,809
1582503190498543994,821
1582503190521795072,810
1582503190545353442,804
1582503190567558364,809
1582503190590234324,813
1582503190612699723,810
1582503190637128482,806
1582503190659465704,809
1582503190681710967,810
1582503190703671831,821
1582503190726502276,808
1582503190750443901,817
1582503190773537393,812
1582503190795094989,812
1582503190817878872,817
1582503190841604186,824
1582503190864435953,811
1582503190886549683,810
1582503190909381221,804
1582503190931997339,806
1582503190954989208,808
1582503190977325817,804
1582503191000243763,807
1582503191022608485,808
1582503191045523770,800
1582503191069532957,806
1582503191091115939,812
1582503191114217660,812
1582503191136835523,805
1582503191160580424,807
1582503191182014559,807
1582503191204229132,807
1582503191229216092,797
1582503191251026374,816
1582503191274692228,808
1582503191295992497,808
1582503191318644722,798
1582503191342269863,808
1582503191365105508,808
1582503191387580866,811
1582503191409729228,803
1582503191434057543,807
1582503191456904484,806
1582503191478846941,810
1582503191501415672,803
1582503191524266187,811
1582503191547348070,805
1582503191569862443,816
1582503191591473709,799
1582503191614427941,803
1582503191638611157,802
1582503191660441638,805
1582503191682909577,809
1582503191706201072,809
1582503191729545521,806
1582503191751996986,813
1582503191774800060,807
1582503191797109964,807
1582503191819678710,814
1582503191842751999,812
1582503191867304897,821
1582503191888599529,813
1582503191911664423,805
1582503191934630655,801
1582503191956608903,805
1582503191979947084,809
1582503192002021400,806
1582503192024495055,805
1582503192047657651,803
1582503192070860138,809
1582503192093389741,809
1582503192115696520,809
1582503192138918063,813
1582503192162217492,807
1582503192185525333,808
1582503192207471850,808
1582503192229517988,809
1582503192253277501,805
1582503192275856699,794
1582503192299553005,815
1582503192320786404,803
1582503192343508182,812
1582503192367327583,799
1582503192389651636,807
1582503192412889176,809
1582503192435892661,806
1582503192458232767,798
1582503192480761221,802
1582503192502570682,794
1582503192527241495,798
1582503192549384370,797
1582503192572687482,797
1582503192594634947,804
1582503192617042407,808
1582503192640298741,802
1582503192663608327,811
1582503192686244290,813
1582503192707905272,803
1582503192730985116,815
1582503192755236065,803
1582503192777186314,797
1582503192799228476,797
1582503192822354019,808
1582503192844947844,802
1582503192867879206,811
1582503192891326528,799
1582503192913618427,808
1582503192936382117,806
1582503192959697041,804
1582503192981942631,812
1582503193004385958,812
1582503193027234611,806
1582503193051416900,807
1582503193073206970,805
1582503193094856491,803
1582503193118648444,796
1582503193140924093,804
1582503193163871051,802
1582503193187672242,803
1582503193209644891,799
1582503193233098038,800
1582503193255959670,800
1582503193278216821,800
1582503193299546802,804
1582503193324192574,803
1582503193346426807,803
1582503193368932351,798
1582503193391747305,806
1582503193413997027,801
1582503193436446586,809
1582503193459077746,802
1582503193483156757,801
1582503193505011949,802
1582503193527636975,804
1582503193551052157,803
1582503193573090153,805
1582503193595971347,802
1582503193618687163,806
1582503193642219439,804
1582503193664659760,805
1582503193688634461,809
1582503193710083537,805
1582503193733079863,802
1582503193755855140,808
1582503193778638837,801
1582503193800972600,798
1582503193823953943,801
1582503193847491009,797
1582503193869838143,800
1582503193894685976,796
1582503193915313418,805
1582503193938151002,808
1582503193961712778,799
1582503193984447508,809
1582503194005399257,801
1582503194028510828,805
1582503194052468282,801
1582503194075844815,802
1582503194097843765,802
1582503194120939927,811
1582503194143388390,803
1582503194165895285,800
1582503194189088719,795
1582503194211121685,798
1582503194234355320,800
1582503194256930468,801
1582503194280671954,796
1582503194301895330,802
1582503194324645899,793
1582503194348233749,798
1582503194371616098,802
1582503194393563566,807
1582503194415607941,793
1582503194438924345,796
1582503194461782852,803
1582503194485109013,801
1582503194507119165,802
1582503194529847667,805
1582503194552968917,793
1582503194577005317,803
1582503194599947308,802
1582503194621908797,802
1582503194644483622,812
1582503194666726066,804
1582503194690634559,801
1582503194711841670,802
1582503194734359006,794
1582503194758168050,800
1582503194781484087,800
1582503194804387726,801
1582503194826878585,803
1582503194849126156,808
1582503194872245615,797
1582503194895527819,800
1582503194916406028,802
1582503194939891966,795
1582503194962928381,799
1582503194985434937,799
1582503195007405934,806
1582503195031365835,802
1582503195055001268,798
1582503195077154341,799
1582503195100618267,799
1582503195122577574,807
1582503195145466125,804
1582503195167679206,793
1582503195191652855,806
1582503195212731159,805
1582503195236173350,803
1582503195260737890,799
1582503195282183659,797
1582503195305130094,804
1582503195327040321,800
1582503195350894651,795
1582503195373117007,799
1582503195396563377,799
1582503195418304104,804
1582503195441584520,795
1582503195464814702,811
1582503195486527139,800
1582503195510278453,804
1582503195531606136,808
1582503195556514649,804
1582503195578157212,794
1582503195601441547,799
1582503195623542558,799
1582503195646554600,798
1582503195671209744,802
1582503195691943800,800
1582503195714421548,793
1582503195737818067,799
1582503195760932038,798
1582503195784919067,800
1582503195805362560,804
1582503195829410535,801
1582503195851214484,817
1582503195874584541,800
1582503195896739425,800
1582503195918952459,801
1582503195941945976,795
1582503195964244502,798
1582503195987944569,797
1582503196011708432,801
1582503196034095053,801
1582503196056228232,804
1582503196078926328,802
1582503196102114253,795
1582503196125450689,805
1582503196147758203,798
1582503196169969242,792
1582503196193190239,800
1582503196214963042,796
1582503196238395775,800
1582503196261517805,803
1582503196284823776,803
1582503196307756997,802
1582503196328881705,807
1582503196351916634,800
1582503196375572805,801
1582503196398449559,796
1582503196419667697,799
1582503196442955000,802
1582503196466188706,798
1582503196489245951,796
1582503196511872631,799
1582503196534834216,802
1582503196557257937,797
1582503196580468529,799
1582503196602157319,799
1582503196625642071,806
1582503196647084519,806
1582503196670025064,812
1582503196692879502,800
1582503196716467517,803
1582503196739411929,795
1582503196763061939,802
1582503196785662518,810
1582503196807721138,797
1582503196831443138,806
1582503196853825148,805
1582503196875589380,802
1582503196899727077,797
1582503196920771486,801
1582503196944345997,803
1582503196966402674,803
1582503196989957184,796
1582503197012042265,798
1582503197035012565,798
1582503197057536626,794
1582503197081965199,799
1582503197103861959,804
1582503197126068364,799
1582503197149254844,795
1582503197171450044,807
1582503197195177979,803
1582503197217766702,807
1582503197239683887,795
1582503197262759988,787
1582503197286115693,793
1582503197309333313,789
1582503197331889408,793
1582503197353946241,799
1582503197376990701,804
1582503197399393549,797
1582503197421567304,802
1582503197444621039,792
1582503197468196382,804
1582503197490598104,804
1582503197512536628,803
1582503197534734431,794
1582503197558433273,806
1582503197580518812,795
1582503197603531932,803
1582503197627965435,802
1582503197650713357,811
1582503197674280231,793
1582503197695869260,789
1582503197718837997,804
1582503197741696054,796
1582503197764879899,799
1582503197786497418,800
1582503197809936003,797
1582503197831604493,797
1582503197858155681,805
1582503197878441541,811
1582503197901231596,799
1582503197923919910,795
1582503197945724810,795
1582503197971434554,795
1582503197991592103,807
1582503198014355774,796
1582503198037034291,801
1582503198061362229,803
1582503198083178623,797
1582503198105781645,792
1582503198128121689,800
1582503198150813625,806
1582503198175060051,803
1582503198197127300,794
1582503198219514864,797
1582503198242367974,809
1582503198264533315,805
1582503198288295002,797
1582503198311531952,795
1582503198333347600,795
1582503198356974041,794
1582503198379483095,803
1582503198402418588,797
1582503198427116369,797
1582503198446767119,801
1582503198470484360,808
1582503198493593551,804
1582503198515509612,804
1582503198537492962,804
1582503198560673409,798
1582503198583102955,798
1582503198606673616,786
1582503198629178413,803
1582503198651832783,795
1582503198675106356,793
1582503198698155509,795
1582503198720682321,800
1582503198742222710,796
1582503198766246484,794
1582503198788784798,800
1582503198810965813,808
1582503198833150003,810
1582503198857591213,800
1582503198878974309,802
1582503198901470891,795
1582503198924725810,796
1582503198947246575,792
1582503198969358780,793
1582503198993864686,796
1582503199017708427,805
1582503199039023004,802
1582503199062334901,801
1582503199086376382,803
1582503199107319546,805
1582503199129479327,801
1582503199151693047,798
1582503199174806754,798
1582503199198433705,807
1582503199221541638,807
1582503199243739286,798
1582503199267236516,801
1582503199288966663,793
1582503199311564325,802
1582503199334648715,797
1582503199356522284,792
1582503199379652453,796
1582503199404205663,798
1582503199427251908,800
1582503199448922792,794
1582503199471536532,793
1582503199493863754,801
1582503199516916925,793
1582503199538402282,793
1582503199562036927,799
1582503199584451083,793
1582503199609552823,789
1582503199632312856,803
1582503199653631158,798
1582503199676230284,794
1582503199698911959,794
1582503199722347695,804
1582503199744986504,807
1582503199767671357,798
1582503199790643072,793
1582503199814484483,796
1582503199837989640,785
1582503199859742290,800
1582503199881385490,798
1582503199904701653,804
1582503199928188256,808
1582503199949467231,805
1582503199972032825,793
1582503199996151221,796
1582503200018284693,797
1582503200041399358,805
1582503200064899416,807
1582503200087326661,795
1582503200109875063,785
1582503200133140612,786
1582503200154480198,794
1582503200178590028,796
1582503200200665431,798
1582503200223649407,798
1582503200246871443,797
1582503200269351867,805
1582503200291404453,806
1582503200315324673,805
1582503200338733937,807
1582503200360123327,803
1582503200382417724,800
1582503200406287480,795
1582503200428980227,806
1582503200451265897,801
1582503200475069609,815
1582503200496348097,799
1582503200519375819,794
1582503200542244696,786
1582503200565253505,790
1582503200587726857,799
1582503200610696588,801
1582503200633999227,796
1582503200655485733,788
1582503200678678529,792
1582503200700777124,789
1582503200724072020,799
1582503200745827302,799
1582503200769736890,788
1582503200791606524,785
1582503200815762992,793
1582503200839090592,797
1582503200861388410,797
1582503200884040434,797
1582503200906713026,790
1582503200930227153,804
1582503200952206835,796
1582503200975138177,800
1582503200997277802,790
1582503201019907110,798
1582503201043036923,805
1582503201066033508,796
1582503201087651048,796
1582503201111394401,797
1582503201134718223,789
1582503201157387708,799
1582503201179468297,800
1582503201202670074,792
1582503201226706044,789
1582503201249344867,795
1582503201270998994,794
1582503201294395554,798
1582503201316472133,792
1582503201340687462,796
1582503201361942825,794
1582503201384935513,799
1582503201407491070,803
1582503201431187037,798
1582503201454986431,794
1582503201475924680,791
1582503201498544879,788
