rosbagTimestamp,data
1582503187376655090,-40
1582503187399702001,-33
1582503187423468454,-31
1582503187446448050,-31
1582503187467147673,-39
1582503187490662223,-35
1582503187513347199,-36
1582503187537299714,-37
1582503187558895865,-34
1582503187582286062,-41
1582503187604579785,-30
1582503187627714116,-34
1582503187651873181,-36
1582503187672959348,-37
1582503187696135456,-37
1582503187718904409,-34
1582503187741000034,-34
1582503187764067075,-36
1582503187786933964,-41
1582503187810116632,-44
1582503187833808539,-35
1582503187855062290,-39
1582503187877417575,-41
1582503187900311888,-41
1582503187923861868,-34
1582503187947106648,-34
1582503187968472039,-35
1582503187991489867,-35
1582503188014489997,-36
1582503188038741680,-32
1582503188060388984,-32
1582503188083423941,-36
1582503188106106759,-33
1582503188128916889,-39
1582503188152984302,-39
1582503188173534680,-37
1582503188196847560,-34
1582503188220859970,-34
1582503188243330581,-38
1582503188264651136,-33
1582503188288216682,-33
1582503188310661676,-28
1582503188333336484,-32
1582503188355557561,-35
1582503188378041337,-35
1582503188401475102,-34
1582503188425381725,-38
1582503188448125955,-39
1582503188470657896,-34
1582503188493941329,-41
1582503188516190267,-39
1582503188539375428,-41
1582503188560679612,-36
1582503188584474612,-39
1582503188607052852,-41
1582503188630300265,-38
1582503188653909641,-37
1582503188674841049,-37
1582503188698549997,-33
1582503188720949671,-30
1582503188744627619,-32
1582503188765604739,-29
1582503188789178988,-41
1582503188812229973,-41
1582503188834446283,-41
1582503188857603630,-37
1582503188879413425,-38
1582503188903034569,-38
1582503188926226607,-38
1582503188949620854,-39
1582503188971262060,-38
1582503188994304035,-36
1582503189017415089,-33
1582503189040553749,-38
1582503189061417819,-40
1582503189086124679,-37
1582503189108226154,-34
1582503189130681204,-48
1582503189154195696,-39
1582503189176229603,-40
1582503189199083552,-37
1582503189221919643,-40
1582503189245683950,-35
1582503189268180063,-38
1582503189290153258,-44
1582503189313491085,-44
1582503189336868207,-42
1582503189358688070,-38
1582503189381769918,-37
1582503189404014534,-37
1582503189427199267,-35
1582503189450203719,-42
1582503189471695213,-38
1582503189495322945,-40
1582503189518008737,-41
1582503189541403322,-42
1582503189564304052,-36
1582503189586493483,-38
1582503189609967765,-40
1582503189632230618,-35
1582503189655751869,-35
1582503189677419154,-35
1582503189700406379,-33
1582503189723881486,-38
1582503189746365272,-36
1582503189768599031,-33
1582503189791157789,-45
1582503189813759526,-39
1582503189836629281,-39
1582503189860397483,-42
1582503189882810849,-38
1582503189905475262,-41
1582503189928528348,-41
1582503189951687822,-41
1582503189973131735,-41
1582503189997196300,-33
1582503190018652061,-39
1582503190042291972,-36
1582503190065139132,-41
1582503190087987064,-38
1582503190110207527,-42
1582503190133279115,-37
1582503190156274541,-44
1582503190178647861,-40
1582503190200970352,-40
1582503190224436272,-40
1582503190247646343,-37
1582503190269181902,-36
1582503190292701406,-35
1582503190314857095,-37
1582503190338435478,-37
1582503190360982707,-37
1582503190383318844,-40
1582503190406222041,-42
1582503190429469182,-35
1582503190453317176,-43
1582503190474772389,-44
1582503190496641151,-36
1582503190519675182,-37
1582503190543477955,-40
1582503190565483166,-40
1582503190588364464,-36
1582503190610944238,-37
1582503190634742756,-48
1582503190657862433,-39
1582503190679412765,-34
1582503190701905201,-41
1582503190724740490,-37
1582503190748342438,-38
1582503190771476979,-37
1582503190793233115,-40
1582503190815983709,-42
1582503190839550266,-42
1582503190862616638,-41
1582503190884658999,-43
1582503190907142902,-36
1582503190930016541,-41
1582503190953356380,-38
1582503190975632104,-36
1582503190998140413,-36
1582503191020898486,-43
1582503191043692197,-40
1582503191067654375,-42
1582503191089230373,-40
1582503191112413216,-40
1582503191134730156,-43
1582503191158296667,-42
1582503191180087880,-46
1582503191202671837,-36
1582503191226657886,-39
1582503191249094508,-40
1582503191272507427,-40
1582503191294145319,-40
1582503191316748566,-39
1582503191340389339,-43
1582503191363395424,-41
1582503191385610574,-41
1582503191407634470,-41
1582503191431578233,-34
1582503191454770865,-42
1582503191477028545,-42
1582503191499611980,-40
1582503191522108035,-40
1582503191545150500,-44
1582503191567649270,-36
1582503191589624014,-40
1582503191612850838,-43
1582503191636776147,-44
1582503191658570604,-41
1582503191681148306,-41
1582503191704390152,-45
1582503191727418140,-38
