rosbagTimestamp,data
1582509068921612502,815
1582509068943702262,810
1582509068967347862,802
1582509068988319741,809
1582509069012173739,810
1582509069035009177,811
1582509069059559206,831
1582509069081483505,811
1582509069103265718,812
1582509069125309147,815
1582509069149168149,816
1582509069171654678,824
1582509069193852166,824
1582509069218466222,820
1582509069241080941,831
1582509069264516821,816
1582509069286080134,817
1582509069307625500,817
1582509069331152592,813
1582509069354628525,809
1582509069377713216,815
1582509069400330661,807
1582509069424428492,803
1582509069445855237,799
1582509069469673474,815
1582509069489950765,815
1582509069512778035,815
1582509069535820204,815
1582509069559115547,805
1582509069581869178,809
1582509069603805094,819
1582509069628586732,812
1582509069653520337,805
1582509069673396102,809
1582509069695561938,806
1582509069718605325,810
1582509069742053259,830
1582509069765954067,817
1582509069789500524,820
1582509069810358874,817
1582509069832663049,815
1582509069856257941,819
1582509069879656261,822
1582509069901899983,810
1582509069924747386,810
1582509069948178212,811
1582509069971900164,815
1582509069992392012,805
1582509070014429616,811
1582509070038666999,811
1582509070061668707,817
1582509070084463043,805
1582509070107198489,813
1582509070128908316,810
1582509070153767792,822
1582509070175916494,819
1582509070198268376,822
1582509070221154150,813
1582509070243244923,813
1582509070268050049,809
1582509070291106897,813
1582509070311938568,812
1582509070334966610,820
1582509070358589961,816
1582509070381539861,817
1582509070403066267,809
1582509070426122765,813
1582509070448797240,813
1582509070472130090,806
1582509070495596249,834
1582509070515594670,822
1582509070540117198,804
1582509070564081129,808
1582509070585747760,818
1582509070607325396,816
1582509070630173690,826
1582509070653789115,814
1582509070677436602,814
1582509070698331666,818
1582509070721626824,806
1582509070744511898,806
1582509070768999125,817
1582509070789835834,793
1582509070812534888,809
1582509070835878932,801
1582509070859163112,815
1582509070881863125,803
1582509070903660681,811
1582509070926447690,822
1582509070950386603,816
1582509070973061428,823
1582509070995141674,809
1582509071017176843,819
1582509071041034939,807
1582509071063314944,811
1582509071086361713,807
1582509071108361798,837
1582509071131713930,825
1582509071156118635,820
1582509071178382104,800
1582509071199767142,814
1582509071223342955,809
1582509071244689503,813
1582509071268635920,815
1582509071291332425,799
1582509071313437382,813
1582509071336247592,821
1582509071359373359,810
1582509071382483817,814
1582509071404621899,814
1582509071427721579,820
1582509071450286505,818
1582509071473913248,805
1582509071497104883,814
1582509071517447710,818
1582509071540894569,825
1582509071565188103,804
1582509071587503947,807
1582509071609578274,821
1582509071633455205,813
1582509071657712982,809
1582509071678716855,821
1582509071701628172,821
1582509071723739177,813
1582509071747017866,813
1582509071770693285,809
1582509071793160151,824
1582509071813669730,820
1582509071836911317,815
1582509071861260818,813
1582509071883116497,823
1582509071907941671,815
1582509071930514642,793
1582509071951550607,791
1582509071975352875,822
1582509071997884399,818
1582509072019610410,814
1582509072041549174,799
1582509072066094024,804
1582509072089026758,808
1582509072110806439,808
1582509072133986455,833
1582509072157343306,819
1582509072179455093,830
1582509072202208468,826
1582509072225252891,826
1582509072246933855,822
1582509072270887725,822
1582509072294162746,814
1582509072316628944,816
1582509072338572994,831
1582509072363223530,816
1582509072385967481,796
1582509072408925743,811
1582509072429418988,813
1582509072452893172,821
1582509072476499539,817
1582509072499143656,815
1582509072521935142,825
1582509072543241287,821
1582509072567470479,826
1582509072590792195,803
1582509072610945896,809
1582509072636463508,818
1582509072659000502,819
1582509072681437099,810
1582509072704033902,806
1582509072726636559,818
1582509072748580272,831
1582509072772736998,820
1582509072794373828,809
1582509072816856698,821
1582509072839683797,815
1582509072862724086,819
1582509072886864615,819
1582509072909229258,815
1582509072931066009,801
1582509072954737780,809
1582509072979043134,836
1582509072999905491,830
1582509073021826556,828
1582509073044222256,812
1582509073068406260,815
1582509073091589418,807
1582509073111854614,815
1582509073136406752,819
1582509073158654744,816
1582509073181473150,823
1582509073204809397,803
1582509073228620794,815
1582509073250445904,831
1582509073273374240,793
1582509073295646749,803
1582509073317335215,797
1582509073340491667,801
1582509073363244145,813
1582509073386542160,827
1582509073409293622,818
1582509073431425163,808
1582509073457083182,809
1582509073477403472,806
1582509073500943421,819
1582509073522917374,809
1582509073544526564,804
1582509073570027499,828
1582509073592721350,820
1582509073614220440,819
1582509073637483244,819
1582509073659353480,826
1582509073682598043,798
1582509073705907300,814
1582509073726579289,809
1582509073751987802,814
1582509073774718642,814
1582509073797201601,789
1582509073818717054,799
1582509073840927720,808
1582509073864314251,808
1582509073886715049,800
1582509073910734356,802
1582509073931902357,811
1582509073955869749,818
1582509073980159027,816
1582509074000819723,816
1582509074023554175,823
1582509074045962102,811
1582509074068732133,815
1582509074093283085,807
1582509074114725360,827
1582509074139005758,815
1582509074161788065,809
1582509074184377676,812
1582509074206840685,821
1582509074228040735,821
1582509074251594145,798
1582509074275635026,798
1582509074297663853,810
1582509074320263250,798
1582509074341810325,822
1582509074367295325,796
1582509074389952624,797
1582509074410707119,815
1582509074433737933,803
1582509074457974080,805
1582509074481113661,818
1582509074502878674,822
1582509074524604220,818
1582509074546777413,814
1582509074570738679,820
1582509074593530951,827
1582509074615963209,819
1582509074638542127,819
1582509074661154220,803
1582509074685933784,826
1582509074707583595,814
1582509074729831537,822
1582509074753992286,823
1582509074776195075,839
1582509074798266517,834
1582509074821124220,820
1582509074844095949,813
1582509074867011847,821
1582509074889644551,823
1582509074912543295,811
1582509074934207940,820
1582509074958388408,813
1582509074981031333,819
1582509075005480179,821
1582509075026158303,833
1582509075048190797,830
1582509075071291547,819
1582509075095622266,808
1582509075116844633,812
1582509075138729922,820
1582509075163146331,821
1582509075184820343,810
1582509075207857583,812
1582509075230797019,802
1582509075254318279,811
1582509075277412875,817
1582509075299681974,824
1582509075324959480,812
1582509075343941188,813
1582509075368208123,815
1582509075390559877,830
1582509075413313882,821
1582509075435610137,821
1582509075458448461,814
1582509075482134124,833
1582509075504255323,813
1582509075527124341,812
1582509075550172902,827
1582509075572082980,818
1582509075596317285,821
1582509075617883936,803
1582509075640911856,810
1582509075665452228,806
1582509075688508726,810
1582509075708928243,821
1582509075731230373,830
1582509075754491637,830
1582509075777613105,808
1582509075801349703,810
1582509075824420413,808
1582509075844462580,816
1582509075869215857,808
1582509075892353232,812
1582509075914654044,815
1582509075937746357,804
1582509075959043607,805
1582509075983156104,809
1582509076005469249,823
1582509076027953595,818
1582509076051261602,804
1582509076074590430,808
1582509076097612933,832
1582509076118744938,828
1582509076141455243,836
1582509076164788664,816
1582509076188161576,813
1582509076210345057,837
1582509076232387120,809
1582509076256623140,809
1582509076278642758,802
1582509076302123187,820
1582509076325875183,824
1582509076346299341,822
1582509076369120001,813
1582509076393066674,809
1582509076414801263,817
1582509076438297506,814
1582509076461232345,826
1582509076482781739,832
1582509076506403668,821
1582509076529425065,824
1582509076553817334,813
1582509076574665651,815
1582509076598592450,812
1582509076620274921,815
1582509076642131185,816
1582509076666526019,805
1582509076689127094,822
1582509076711399754,815
1582509076734071782,813
1582509076756799751,803
1582509076779620973,789
1582509076802935844,812
1582509076826722662,832
1582509076846927519,825
1582509076871855370,821
1582509076894603196,808
1582509076915621612,789
1582509076940099818,784
1582509076961986969,788
1582509076984502729,775
1582509077007413980,783
1582509077030917796,792
1582509077055686729,799
1582509077076687678,786
1582509077098495993,798
1582509077121806491,793
1582509077143596156,801
1582509077167418908,816
1582509077189871966,822
1582509077211862628,836
1582509077235523328,870
1582509077258743949,900
1582509077280883368,902
1582509077303684637,905
1582509077327141502,908
1582509077347612042,894
1582509077371628012,887
1582509077394750817,868
1582509077416849960,853
1582509077440699292,856
1582509077463474154,859
1582509077485696097,871
1582509077508932773,857
1582509077532591999,834
1582509077554803336,838
1582509077576986071,816
1582509077600615312,804
1582509077623100713,809
1582509077644841075,811
1582509077667847043,819
1582509077690389075,828
1582509077713314498,828
1582509077736549441,851
1582509077758308107,853
1582509077781172642,851
1582509077804053231,883
1582509077827054766,939
1582509077851095301,943
1582509077873641454,995
1582509077895970489,1057
1582509077918504884,1089
1582509077942196175,1107
1582509077965044593,1153
1582509077987191269,1167
1582509078009560940,1182
1582509078031864873,1166
1582509078055974732,1150
1582509078078331119,1138
1582509078101470410,1156
1582509078123724421,1153
1582509078144984742,1142
1582509078168980289,1165
1582509078193218519,1172
1582509078214501673,1142
1582509078237247190,1159
1582509078259240261,1155
1582509078283218877,1167
1582509078307480637,1149
1582509078328805961,1149
1582509078351641251,1153
1582509078372963508,1157
1582509078396687247,1166
1582509078419123737,1156
1582509078442687032,1169
1582509078464297221,1180
1582509078487703530,1158
1582509078510781603,1149
1582509078533698491,1137
1582509078555758639,1154
1582509078579253878,1162
1582509078601334222,1162
1582509078624483026,1158
1582509078647375968,1168
1582509078670042530,1172
1582509078693009870,1179
1582509078715673954,1158
1582509078738764858,1166
1582509078761067595,1152
1582509078784797728,1146
1582509078806738078,1137
1582509078829575258,1133
1582509078852034189,1155
1582509078874952847,1182
1582509078897610295,1195
1582509078920712636,1202
1582509078944209614,1216
1582509078964888178,1224
1582509078988862235,1204
1582509079011654765,1218
1582509079034304111,1214
1582509079056578867,1206
1582509079080303518,1214
1582509079102403011,1236
1582509079126796835,1204
1582509079149342376,1193
1582509079171083488,1175
1582509079194337226,1170
1582509079216830522,1164
1582509079239977192,1173
1582509079263412762,1173
1582509079284679009,1167
1582509079307490661,1146
1582509079330520607,1143
1582509079354117865,1145
1582509079375760936,1160
1582509079399100617,1140
1582509079420899865,1132
1582509079445060124,1150
1582509079466644056,1156
1582509079491403467,1152
1582509079512272151,1121
1582509079536729411,1141
1582509079559867497,1130
1582509079580743326,1126
1582509079603984544,1095
1582509079626040196,1089
1582509079648962912,1100
1582509079672606954,1115
1582509079694592197,1119
1582509079717877839,1103
1582509079740227981,1094
1582509079763260495,1105
1582509079785187984,1085
1582509079808426249,1077
1582509079831291315,1084
1582509079856142117,1076
1582509079877232480,1092
1582509079900438309,1113
1582509079923525514,1096
1582509079945750444,1104
1582509079968333801,1116
1582509079990647655,1096
1582509080013715974,1118
1582509080036837373,1110
1582509080060243747,1114
1582509080081272286,1076
1582509080104908106,1080
1582509080127309513,1068
1582509080150442926,1055
1582509080173035329,1078
1582509080195651601,1054
1582509080218684107,1037
1582509080241055250,1032
1582509080264852672,1008
1582509080286991619,998
1582509080310080872,1011
1582509080333477120,980
1582509080357048505,996
1582509080377011089,994
1582509080400647786,1026
1582509080423592569,1040
1582509080446620684,1045
1582509080469955944,1070
1582509080491131272,1062
1582509080514821821,1002
1582509080538107336,981
1582509080560617750,954
1582509080582147727,886
1582509080606322067,864
1582509080629299189,807
1582509080651955786,770
1582509080674546957,702
1582509080696951778,621
1582509080718715213,573
1582509080742576428,557
1582509080764736774,537
1582509080788033975,506
1582509080810083640,482
1582509080834579645,490
1582509080857404133,444
1582509080878649410,444
1582509080901221467,414
1582509080924860140,408
1582509080948862059,422
1582509080970468922,402
1582509080992679512,408
1582509081015554605,396
1582509081038702353,392
1582509081061442195,394
1582509081083979302,409
1582509081107842835,435
1582509081129240421,446
1582509081152958347,428
1582509081175397670,436
1582509081199654519,441
1582509081220732479,447
1582509081244227551,451
1582509081267872268,455
1582509081294023771,485
1582509081311673173,537
1582509081335143039,641
1582509081358221397,712
1582509081380566754,787
1582509081402697638,773
1582509081426533829,804
1582509081449168844,827
1582509081471061190,881
1582509081492807148,926
1582509081516146241,970
1582509081540555849,998
1582509081562929983,1006
1582509081584833559,1004
1582509081607715610,998
1582509081630189535,992
1582509081653910011,1010
1582509081676091667,1023
1582509081698631166,1016
1582509081721713489,1051
1582509081744585274,1030
1582509081769012974,1046
1582509081789345394,1038
1582509081811692136,1050
1582509081835728417,1058
1582509081859575676,1037
1582509081882474255,1066
1582509081904388998,1061
1582509081926454488,1048
1582509081949741854,1048
1582509081972513245,1064
1582509081994889199,1067
