rosbagTimestamp,data
1582509068920370050,683
1582509068942444545,680
1582509068965760056,675
1582509068986875704,678
1582509069010640432,685
1582509069033357656,681
1582509069057746722,683
1582509069080003131,675
1582509069101736798,671
1582509069124049703,679
1582509069147739457,677
1582509069170226263,681
1582509069192418686,681
1582509069216284983,678
1582509069239283867,675
1582509069262414055,675
1582509069284732927,673
1582509069306165977,673
1582509069329712312,675
1582509069353062089,675
1582509069376296209,671
1582509069398464179,673
1582509069421076415,681
1582509069443878425,675
1582509069467550420,678
1582509069488532337,677
1582509069511567191,673
1582509069534622604,670
1582509069557745256,673
1582509069580485137,677
1582509069602280325,678
1582509069626828982,681
1582509069650993708,676
1582509069671946420,685
1582509069693790541,682
1582509069716924517,676
1582509069740105229,674
1582509069764231247,678
1582509069786636633,680
1582509069808521264,682
1582509069830836095,676
1582509069854297423,675
1582509069877834368,673
1582509069899537265,672
1582509069922565648,674
1582509069945977393,674
1582509069969178938,682
1582509069990299063,678
1582509070012810091,682
1582509070036801280,678
1582509070059948634,672
1582509070082390115,676
1582509070105055793,672
1582509070126994394,675
1582509070152186258,686
1582509070173707629,682
1582509070196277264,674
1582509070218981505,670
1582509070241396810,669
1582509070266302282,680
1582509070288893799,676
1582509070310252279,676
1582509070332774371,672
1582509070356398532,679
1582509070379168095,675
1582509070401072423,672
1582509070424158878,676
1582509070446245992,668
1582509070469572274,672
1582509070493606830,677
1582509070513851710,682
1582509070538180951,679
1582509070562105797,676
1582509070583760800,673
1582509070605687171,670
1582509070628206893,672
1582509070651538566,675
1582509070675454844,669
1582509070695904040,677
1582509070719388843,681
1582509070742684374,677
1582509070766890829,673
1582509070787943681,672
1582509070810564446,679
1582509070833361433,674
1582509070857476135,674
1582509070879907755,675
1582509070901714312,679
1582509070924668574,672
1582509070948322389,680
1582509070970579437,672
1582509070993135379,677
1582509071015025990,676
1582509071038838215,678
1582509071061363219,675
1582509071084291582,675
1582509071106526924,674
1582509071129889703,678
1582509071154167211,678
1582509071176460734,674
1582509071197786880,674
1582509071221574246,674
1582509071242820736,674
1582509071266445745,678
1582509071289148946,676
1582509071311580797,680
1582509071334323469,669
1582509071357433267,669
1582509071380505598,669
1582509071402774188,669
1582509071425650989,673
1582509071448590736,677
1582509071471499372,673
1582509071495206879,675
1582509071515548979,672
1582509071538775130,672
1582509071562869845,676
1582509071585190338,682
1582509071607558376,675
1582509071631272124,674
1582509071654877647,673
1582509071676543167,672
1582509071699971148,671
1582509071721992816,672
1582509071744908712,672
1582509071768350738,682
1582509071790731950,677
1582509071811992968,675
1582509071834795436,673
1582509071859294833,674
1582509071881266964,669
1582509071905493116,676
1582509071927912308,673
1582509071949609525,677
1582509071973087645,674
1582509071996073782,672
1582509072017396587,674
1582509072039876816,666
1582509072063873094,669
1582509072086437572,668
1582509072109067426,677
1582509072131316614,681
1582509072154594050,680
1582509072177335732,671
1582509072200383237,673
1582509072223262257,676
1582509072245097188,674
1582509072268904822,679
1582509072292253596,675
1582509072314094075,675
1582509072335989288,675
1582509072361021149,679
1582509072383648736,669
1582509072407011880,675
1582509072427464521,676
1582509072451043863,679
1582509072473935734,680
1582509072497088382,681
1582509072519409674,673
1582509072541322296,676
1582509072565630847,669
1582509072588320167,673
1582509072609283603,681
1582509072634122746,675
1582509072656412162,671
1582509072679129125,671
1582509072702117104,675
1582509072723947396,671
1582509072746586640,672
1582509072770397794,676
1582509072792012447,667
1582509072814937772,679
1582509072837835292,680
1582509072860648116,669
1582509072885025506,677
1582509072908402692,681
1582509072928727245,677
1582509072952015561,676
1582509072976366284,672
1582509072997896956,676
1582509073019574118,680
1582509073042316500,676
1582509073065931621,679
1582509073089769245,672
1582509073110123574,667
1582509073134284770,670
1582509073156126754,671
1582509073179650070,671
1582509073202828196,671
1582509073226401649,669
1582509073248267590,675
1582509073270830731,684
1582509073294078473,680
1582509073315322820,684
1582509073338627488,671
1582509073361282418,666
1582509073384250897,675
1582509073407492685,673
1582509073429350080,673
1582509073453275894,669
1582509073475208246,678
1582509073498902197,675
1582509073520629079,673
1582509073542464134,669
1582509073565971349,674
1582509073590450919,670
1582509073612237277,670
1582509073635327959,673
1582509073657322697,673
1582509073680410754,678
1582509073703686119,670
1582509073724966318,677
1582509073749597630,670
1582509073772661373,667
1582509073795628664,675
1582509073816839636,670
1582509073839026538,683
1582509073862287282,669
1582509073884794549,673
1582509073908943096,669
1582509073929988758,673
1582509073953887808,670
1582509073977437860,672
1582509073998898985,676
1582509074020774807,672
1582509074044090362,679
1582509074067048314,677
1582509074090700454,673
1582509074112849162,670
1582509074137043581,672
1582509074159939747,668
1582509074181828035,672
