rosbagTimestamp,data
1582585957615780291,548
1582585957633513615,552
1582585957654969876,551
1582585957678180769,553
1582585957700923923,551
1582585957723085671,551
1582585957747072577,551
1582585957768529206,550
1582585957792697491,552
1582585957815820373,551
1582585957839350011,546
1582585957862272273,548
1582585957884035066,552
1582585957907557401,551
1582585957928500070,550
1582585957951330279,550
1582585957973723292,546
1582585957995954467,550
1582585958020021044,546
1582585958042560233,554
1582585958065745148,551
1582585958090335335,551
1582585958114029065,556
1582585958135367097,552
1582585958158511328,550
1582585958181249749,543
1582585958201615659,541
1582585958223789771,547
1582585958247734252,553
1582585958269968735,547
1582585958291852972,548
1582585958314816975,556
1582585958337958907,558
1582585958361824123,556
1582585958383588348,548
1582585958406121845,549
1582585958428570140,557
1582585958452313717,551
1582585958474763287,547
1582585958497276823,550
1582585958521708144,552
1582585958543722395,549
1582585958566018306,544
1582585958588306093,546
1582585958612148202,542
1582585958634899030,546
1582585958657115474,552
1582585958679776367,549
1582585958702750523,555
1582585958725305077,557
1582585958748087566,554
1582585958770132587,555
1582585958794219195,550
1582585958817168450,550
1582585958840777067,545
1582585958863939890,549
1582585958885951852,553
1582585958910134444,552
1582585958933087699,552
1582585958955453882,546
1582585958975692151,550
1582585958998187555,554
1582585959020874211,542
1582585959044164309,546
1582585959066840539,554
1582585959089132300,556
1582585959112364190,555
1582585959136300961,550
1582585959157296651,546
1582585959180082495,550
1582585959203907957,549
1582585959224999033,552
1582585959247731304,550
1582585959271348996,552
1582585959295037917,547
1582585959318901100,549
1582585959341347573,545
1582585959364788580,551
1582585959386350416,551
1582585959410185144,553
1582585959430759337,551
1582585959453060410,551
1582585959476462748,555
1582585959499796431,554
1582585959521243084,552
1582585959544469942,549
1582585959567406188,552
1582585959589607558,548
1582585959613200533,548
1582585959636505546,550
1582585959657896087,557
1582585959681517659,555
1582585959703247389,553
1582585959726624552,549
1582585959749476496,552
1582585959774837570,555
1582585959797257957,550
1582585959819252632,546
1582585959842501206,550
1582585959866390113,560
1582585959888977746,556
1582585959908775453,556
1582585959930859442,553
1582585959954538229,555
1582585959977556042,549
1582585959998629230,549
1582585960021843545,552
1582585960045527379,552
1582585960067877252,553
1582585960090549360,554
1582585960115761422,550
1582585960137421658,552
1582585960161547459,554
1582585960183257857,553
1582585960204852687,553
1582585960227893987,557
1582585960249664669,553
1582585960272552383,550
1582585960295511852,549
1582585960318722693,553
1582585960341700841,547
1582585960362955944,549
1582585960386404975,549
1582585960410922007,554
1582585960432556754,552
1582585960453890375,552
1582585960477467952,552
1582585960500676507,554
1582585960524287945,554
1582585960546241650,549
1582585960568931946,549
1582585960592515396,551
1582585960615219417,550
1582585960638685161,550
1582585960660308723,552
1582585960683529889,551
1582585960705405604,551
1582585960728029310,557
1582585960749855429,555
1582585960772967220,552
1582585960796865786,548
1582585960819666865,548
1582585960842138092,550
1582585960864714347,548
1582585960887649255,550
1582585960910989070,549
1582585960932852440,551
1582585960955588599,551
1582585960978536462,547
1582585961001936182,547
1582585961024967795,549
1582585961045975330,551
1582585961069268126,549
1582585961093803073,552
1582585961119430434,547
1582585961140040763,551
1582585961162600162,549
1582585961184873003,547
1582585961207419153,551
1582585961229279709,548
1582585961250836757,551
1582585961274955065,551
1582585961297471390,551
1582585961319016836,549
1582585961342779061,548
1582585961365995770,554
1582585961388662790,549
1582585961410749156,543
1582585961433086424,546
1582585961456086955,548
1582585961480072810,552
1582585961501827641,558
1582585961524619181,550
1582585961546888311,554
1582585961570805540,555
1582585961592171848,557
1582585961617132261,551
1582585961639925949,547
1582585961661471233,551
1582585961684275746,552
1582585961706116797,549
1582585961728732466,550
1582585961751572104,557
1582585961775397719,560
1582585961797500008,552
1582585961821537643,551
1582585961844142425,552
1582585961866603207,549
1582585961889150901,546
1582585961911766924,552
1582585961935055360,556
1582585961957868417,547
1582585961979691034,553
1582585962003023386,547
1582585962025402975,551
1582585962048538707,551
1582585962070348009,555
1582585962095356495,543
1582585962121703417,545
1582585962146861812,553
1582585962163048607,553
1582585962185748514,550
1582585962207418475,550
1582585962229848554,554
1582585962251907158,550
1582585962274485967,554
1582585962298057271,549
1582585962321763434,549
1582585962344650029,547
1582585962366327826,553
1582585962389023314,545
1582585962411791438,554
1582585962435230956,549
1582585962456793650,554
1582585962480038724,542
1582585962503828818,549
1582585962526770512,555
1582585962549986224,551
1582585962572277286,551
1582585962595904525,549
1582585962619154791,550
1582585962640530598,548
1582585962662986269,552
1582585962685365003,548
1582585962708107621,552
1582585962730582093,550
1582585962752747624,559
1582585962776708824,555
1582585962798817357,554
1582585962821415055,547
1582585962844587639,550
1582585962867587151,552
1582585962890886063,553
1582585962912528420,552
1582585962935452110,552
1582585962957864654,547
1582585962980537391,551
1582585963008120223,552
1582585963028996375,556
1582585963053508634,555
1582585963074338652,552
1582585963099730379,551
1582585963120087982,547
1582585963144141963,554
1582585963167125620,551
1582585963187190424,552
1582585963208730503,559
1582585963231497065,558
1582585963254025712,554
1582585963277685375,551
1582585963298967559,550
1582585963323118442,556
1582585963346198835,550
1582585963368642192,558
1582585963390408656,548
1582585963414067921,547
1582585963436484494,551
1582585963459390806,549
1582585963482094513,551
1582585963504946060,547
1582585963527664602,550
1582585963550353292,550
1582585963574539152,550
1582585963598244843,547
1582585963621918794,551
1582585963649645377,551
1582585963666375187,552
1582585963692899520,552
1582585963711113632,552
1582585963732767734,551
1582585963755374068,554
1582585963776582001,553
1582585963800809747,542
1582585963823081159,553
1582585963845641061,555
1582585963868172070,546
1582585963891992168,547
1582585963914577541,553
1582585963936972586,549
1582585963958813971,547
1582585963982780798,551
1582585964005959707,551
1582585964029103912,551
1582585964050809859,555
1582585964073747078,555
1582585964099621710,551
1582585964122461064,547
1582585964144424818,559
1582585964166713331,552
1582585964189448818,551
1582585964214158128,551
1582585964233479248,555
1582585964255293675,552
1582585964278069279,551
1582585964301161456,552
1582585964324740361,558
1582585964345987126,546
1582585964369036569,552
1582585964392426442,556
1582585964414623249,552
1582585964436787633,555
1582585964460022097,555
1582585964483956764,558
1582585964506834760,558
1582585964529855027,557
1582585964551887898,556
1582585964574857082,554
1582585964598143849,553
1582585964619707463,553
1582585964642763331,554
1582585964665708525,552
1582585964688661339,556
1582585964710494192,552
1582585964736643928,556
1582585964756076327,550
1582585964781313922,548
1582585964804645562,553
1582585964826934365,554
1582585964852558873,558
1582585964872674335,550
1582585964895315875,550
1582585964915884324,550
1582585964938049696,550
1582585964961666133,550
1582585964984890124,554
1582585965006157587,554
1582585965029435380,552
1582585965052634382,552
1582585965075572188,548
1582585965098838604,551
1582585965122354126,548
1582585965146012476,548
1582585965169151945,544
1582585965191193240,548
1582585965212228439,554
1582585965234817990,554
1582585965257476001,555
1582585965278752384,552
1582585965302095398,552
1582585965326247949,552
1582585965348041291,546
1582585965369879022,543
1582585965394311563,545
1582585965417058150,544
1582585965439965386,552
1582585965462612611,549
1582585965484089003,553
1582585965508153568,549
1582585965530111470,550
1582585965553987129,553
1582585965575596211,548
1582585965600132910,552
1582585965622086156,548
1582585965645966056,550
1582585965668625655,549
1582585965691299006,554
1582585965713469961,551
1582585965735560316,547
1582585965756789447,549
1582585965780486597,553
1582585965802862222,549
1582585965826314682,552
1582585965847686999,546
1582585965870787566,552
1582585965894176812,554
1582585965917476751,553
1582585965939916260,557
1582585965961872849,548
1582585965985792516,548
1582585966009486112,555
1582585966031748305,550
1582585966053653879,548
1582585966076129493,548
1582585966099699379,550
1582585966123360742,554
1582585966145091732,554
1582585966167473923,547
