rosbagTimestamp,data
1582585957632053746,257
1582585957653489157,252
1582585957676946081,248
1582585957699666065,251
1582585957721789168,255
1582585957745724299,247
1582585957767176500,248
1582585957791240118,246
1582585957813883695,251
1582585957837461938,253
1582585957860414424,248
1582585957882392986,242
1582585957905366657,246
1582585957927109304,254
1582585957950002874,250
1582585957972469945,248
1582585957994678046,251
1582585958018512070,252
1582585958041249550,248
1582585958064310659,249
1582585958088332520,247
1582585958110266642,249
1582585958132902156,250
1582585958156949859,251
1582585958179502911,250
1582585958200073814,250
1582585958222553212,248
1582585958246294207,245
1582585958268513984,245
1582585958290375120,245
1582585958313466344,256
1582585958336574406,253
1582585958360426906,249
1582585958382271921,252
1582585958404668104,252
1582585958427230038,253
1582585958450845555,249
1582585958473514981,250
1582585958495641665,253
1582585958519934841,250
1582585958542257445,242
1582585958564532554,246
1582585958587102592,247
1582585958610689605,247
1582585958633276309,243
1582585958655568387,247
1582585958678290255,255
1582585958701225535,251
1582585958723957733,257
1582585958746793740,249
1582585958768840577,245
1582585958792718778,246
1582585958815544528,247
1582585958838759193,245
1582585958862002000,252
1582585958884258329,245
1582585958908438235,256
1582585958930569750,253
1582585958953413185,246
1582585958973888725,244
1582585958996698602,244
1582585959019538245,252
1582585959042724850,250
1582585959065498826,250
1582585959087653132,251
1582585959110946224,249
1582585959133555568,247
1582585959155877034,249
1582585959178803429,247
1582585959202425123,249
1582585959223540988,244
1582585959246449238,248
1582585959270023849,247
1582585959293512377,247
1582585959317050070,242
1582585959339284097,246
1582585959362573406,250
1582585959384703272,246
1582585959408136527,242
1582585959428854124,252
1582585959451634998,255
1582585959475149738,252
1582585959498337158,259
1582585959519742533,253
1582585959543072279,251
1582585959566014393,247
1582585959588165734,246
1582585959611745570,243
1582585959634615957,245
1582585959656624494,245
1582585959680056328,241
1582585959701933183,245
1582585959725300870,245
1582585959748121021,244
1582585959773007456,247
1582585959794355284,252
1582585959817573623,249
1582585959840744217,248
1582585959864053405,250
1582585959886915581,247
1582585959907056420,247
1582585959929564670,246
1582585959953306141,246
1582585959976655532,250
1582585959997546755,243
1582585960020565157,247
1582585960044262092,247
1582585960066513042,247
1582585960088647409,249
1582585960113849680,248
1582585960135508333,250
1582585960160038317,253
1582585960181218323,253
1582585960203442811,251
1582585960226458434,251
1582585960248335748,247
1582585960270941745,252
1582585960294130713,248
1582585960317280637,250
1582585960339938074,249
1582585960361567100,252
1582585960385024239,251
1582585960409112499,248
1582585960431264478,252
1582585960452478268,248
1582585960475939236,247
1582585960499121283,251
1582585960522586172,245
1582585960544827230,251
1582585960567607295,250
1582585960590781156,249
1582585960613598377,245
1582585960636262611,253
1582585960658455050,250
1582585960682036158,248
1582585960703993887,241
1582585960726614363,249
1582585960748556807,244
1582585960771649076,249
1582585960795365640,253
1582585960818064656,247
1582585960840645407,247
1582585960863240445,248
1582585960886188725,251
1582585960909583599,243
1582585960931421658,240
1582585960954150809,242
1582585960977193622,241
1582585961000473102,247
1582585961023572098,247
1582585961044560489,252
1582585961067908124,250
1582585961091915688,246
1582585961116136383,247
1582585961137957804,245
1582585961160587347,244
1582585961183004307,252
1582585961205617333,253
1582585961227939232,249
1582585961249386840,242
1582585961273336087,249
1582585961296134994,246
1582585961317555614,248
1582585961341386276,245
1582585961364549530,253
1582585961387314717,255
1582585961409458250,252
1582585961431761394,255
1582585961454776282,248
1582585961478745508,248
1582585961500367156,248
1582585961523151131,250
1582585961545585595,250
1582585961569258332,250
1582585961590555926,250
1582585961614846337,250
1582585961638099618,251
1582585961659738159,246
1582585961682773525,250
1582585961704848265,250
1582585961727385556,250
1582585961750207926,250
1582585961774117833,245
1582585961796107569,249
1582585961819814522,245
1582585961842521102,250
1582585961865193741,247
1582585961887410696,247
1582585961910236898,250
1582585961933420288,247
1582585961956236721,251
1582585961978243664,256
1582585962001365329,248
1582585962023854829,251
1582585962046846922,248
1582585962068875797,249
1582585962093294897,242
1582585962119211994,249
1582585962139278961,250
1582585962161068161,242
1582585962183525215,250
1582585962205867665,254
1582585962228633351,250
1582585962250684583,247
1582585962273365438,253
1582585962296615508,253
1582585962320534332,243
1582585962343358235,249
1582585962364906405,249
1582585962387504908,251
1582585962410385253,245
1582585962433991581,243
1582585962455455610,247
1582585962478668683,248
1582585962502421192,248
1582585962525004492,250
1582585962547996800,250
1582585962570754837,250
1582585962593935445,250
1582585962617567661,254
1582585962638787806,250
1582585962661407979,252
1582585962683963995,248
1582585962706778559,250
1582585962729257862,245
1582585962751458014,246
1582585962775126828,246
1582585962797245314,257
1582585962819881373,251
1582585962842966002,251
1582585962866152409,244
1582585962889089195,241
1582585962910982056,241
1582585962933905612,247
1582585962956687826,246
1582585962979280593,249
1582585963005742291,245
1582585963026532302,246
1582585963051010435,255
1582585963072640062,243
1582585963097054883,246
1582585963117875056,253
1582585963141799966,249
1582585963165188501,249
1582585963185383894,246
1582585963207268968,246
1582585963230211294,251
1582585963252640704,251
1582585963276334687,243
1582585963297411721,250
1582585963321352354,250
1582585963344655227,247
1582585963367042786,245
1582585963388949488,253
1582585963412508430,251
1582585963435084070,251
1582585963458099263,246
1582585963480712627,253
1582585963503421319,248
1582585963526212809,250
1582585963549009062,250
1582585963572706230,251
1582585963596393667,251
1582585963620006618,247
1582585963647465595,246
1582585963663943771,251
1582585963689617030,251
1582585963709117135,244
1582585963731044253,251
1582585963753875748,248
1582585963775260445,248
1582585963799387149,243
1582585963821608713,245
1582585963844365819,245
1582585963866779976,245
1582585963890548004,250
1582585963913137689,249
1582585963935562789,251
1582585963957470240,249
1582585963981515973,244
1582585964004234261,248
1582585964027135327,244
1582585964049351545,252
1582585964072162903,249
1582585964097568659,245
1582585964119994369,249
1582585964142076485,254
1582585964164780770,250
1582585964187346690,249
1582585964211673590,246
1582585964232041295,250
1582585964253944917,250
1582585964276600954,250
1582585964299785258,256
1582585964323265239,248
1582585964344538739,248
1582585964367776834,250
1582585964391094429,249
1582585964413235867,252
1582585964435406526,248
1582585964458861704,249
1582585964482446001,244
1582585964505189462,245
1582585964527887545,245
1582585964550348500,245
1582585964573378909,247
1582585964596526310,245
1582585964618049805,244
1582585964641054538,241
1582585964664005087,245
1582585964687304515,246
1582585964709282379,247
1582585964731829633,249
1582585964754929711,245
1582585964779518980,247
1582585964802117693,250
1582585964824415621,249
1582585964847748595,245
1582585964870361707,247
1582585964893025959,250
1582585964914420658,250
1582585964936578388,248
1582585964960374164,245
1582585964983469017,250
1582585965004831048,250
1582585965028118274,251
1582585965051382990,251
1582585965074116818,251
1582585965097378833,252
1582585965119944199,249
1582585965143628211,249
1582585965166827459,253
1582585965191162633,251
1582585965210510230,251
1582585965233248383,246
1582585965256158760,250
1582585965277246813,251
1582585965300610867,244
1582585965324845505,248
1582585965346558626,248
1582585965368473186,246
1582585965392895821,246
1582585965415211856,252
1582585965438664765,243
1582585965461318375,247
1582585965482693132,248
1582585965506183313,252
1582585965528698528,252
1582585965552581304,253
