rosbagTimestamp,data
1582589560787589695,550
1582589560810516807,562
1582589560832248421,554
1582589560854780437,552
1582589560878507654,551
1582589560903716391,545
1582589560925511846,552
1582589560946315550,555
1582589560969085381,554
1582589560992682229,557
1582589561014776818,555
1582589561036696605,550
1582589561060793201,549
1582589561083996838,548
1582589561107572969,551
1582589561130251684,559
1582589561156341729,554
1582589561175132360,550
1582589561196969406,555
1582589561220024911,553
1582589561241448929,553
1582589561265612084,549
1582589561287915611,552
1582589561310127733,555
1582589561333466881,556
1582589561355685417,553
1582589561380254209,556
1582589561403485118,549
1582589561426552784,545
1582589561447401905,548
1582589561470202989,548
1582589561492366188,554
1582589561514561520,556
1582589561537884478,548
1582589561561866336,554
1582589561583241522,550
1582589561608501096,550
1582589561631526360,554
1582589561652493697,553
1582589561675124515,555
1582589561699822358,550
1582589561722573302,547
1582589561744400011,550
1582589561768418114,549
1582589561788506953,556
1582589561810876068,560
1582589561833651162,552
1582589561856784338,551
1582589561879708684,551
1582589561903387034,555
1582589561926232119,552
1582589561949003535,555
1582589561970808127,547
1582589561993261873,548
1582589562016358046,548
1582589562039388458,552
1582589562060984259,556
1582589562084312204,548
1582589562108401233,552
1582589562131041782,560
1582589562152672883,555
1582589562175499879,559
1582589562199733486,557
1582589562223323040,554
1582589562244661652,552
1582589562266187622,559
1582589562289386031,555
1582589562311708189,543
1582589562335642094,547
1582589562357386015,549
1582589562381213548,551
1582589562405904132,548
1582589562428703590,552
1582589562450139490,554
1582589562471095179,548
1582589562494564271,547
1582589562516777647,559
1582589562539050603,554
1582589562563002899,554
1582589562586205415,554
1582589562610650842,547
1582589562633085950,551
1582589562654519730,551
1582589562676214681,551
1582589562701805376,555
1582589562722932913,551
1582589562744290288,545
1582589562767445853,552
1582589562790747417,556
1582589562812482377,553
1582589562835079495,553
1582589562858774943,552
1582589562882659345,552
1582589562905021450,555
1582589562927815261,553
1582589562950486389,555
1582589562972423972,552
1582589562995097599,552
1582589563017815156,542
1582589563040647648,547
1582589563063769331,551
1582589563086109426,549
1582589563109771771,548
1582589563131581979,551
1582589563155647362,547
1582589563179214512,550
1582589563201144946,553
1582589563225028236,550
1582589563246215830,553
1582589563268505432,549
1582589563289432981,554
1582589563312884874,549
1582589563337650202,549
1582589563360288746,549
1582589563382353440,551
1582589563406568203,549
1582589563428351268,553
1582589563450627620,553
1582589563473051483,549
1582589563495589810,548
1582589563518100776,551
1582589563541582067,553
1582589563563589475,548
1582589563585941896,556
1582589563610723754,550
1582589563635198492,549
1582589563656045915,550
1582589563678625187,554
1582589563702032391,554
1582589563725470148,553
1582589563746771851,553
1582589563767793136,551
1582589563791355376,555
1582589563814115823,546
1582589563838478150,546
1582589563861080602,549
1582589563883546359,549
1582589563908278021,549
1582589563931957234,551
1582589563949869366,547
1582589563973091557,555
1582589563996382906,547
1582589564018501569,545
1582589564042266174,549
1582589564064835386,550
1582589564087276016,554
1582589564111628300,546
1582589564135438002,554
1582589564155811203,554
1582589564178709094,550
1582589564203180546,556
1582589564226470875,548
1582589564247019882,552
1582589564268999328,546
1582589564292117769,554
1582589564315246817,553
1582589564336840442,552
1582589564359681378,551
1582589564384304438,549
1582589564409323445,553
1582589564429656959,549
1582589564453252665,547
1582589564474224884,546
1582589564496945897,557
1582589564519014526,555
1582589564542257712,548
1582589564564941722,546
1582589564588440316,551
1582589564611659914,548
1582589564633107018,553
1582589564657184447,554
1582589564681065891,550
1582589564702791005,548
1582589564726403959,553
1582589564747740076,548
1582589564769894447,544
1582589564793103672,547
1582589564815265093,552
1582589564837943860,552
1582589564861376473,552
1582589564885925214,551
1582589564907993337,555
1582589564931715501,551
1582589564954813031,551
1582589564975852435,560
1582589564998237496,548
1582589565020237244,552
1582589565042821954,556
1582589565066404904,549
1582589565088026824,549
1582589565111860651,555
1582589565134374687,549
1582589565156787668,546
1582589565179272936,556
1582589565203577726,552
1582589565226505757,551
1582589565249032059,555
1582589565270337890,552
1582589565292506507,556
1582589565316024196,553
1582589565341257645,552
1582589565363277833,554
1582589565385793422,546
1582589565410826303,557
1582589565431962836,553
1582589565452854407,550
1582589565474889917,554
1582589565498058088,550
1582589565521264631,552
1582589565544065281,548
1582589565565953686,556
1582589565589841515,556
1582589565613379213,557
1582589565635968264,548
1582589565658051640,548
1582589565681416889,547
1582589565705529319,553
1582589565728988220,553
1582589565749254671,553
1582589565770527292,557
1582589565794378303,551
1582589565818006275,547
1582589565838974286,551
1582589565863394193,555
1582589565886080977,551
1582589565911268700,547
1582589565933326601,549
1582589565954297148,549
1582589565976036158,549
1582589565999693557,557
1582589566021430627,553
1582589566044724816,549
1582589566067136333,556
1582589566089666144,548
1582589566114843339,556
1582589566136167986,555
1582589566158239257,549
1582589566181818864,549
1582589566206264838,553
1582589566230382098,550
1582589566250376138,548
1582589566271843836,544
1582589566294873151,546
1582589566317564264,551
1582589566339900136,553
1582589566363537600,550
1582589566386505137,549
1582589566411320929,554
1582589566433404421,544
1582589566455396356,548
1582589566477114143,552
1582589566500536407,556
1582589566521418563,548
1582589566545524414,550
1582589566568495812,549
1582589566591659344,550
1582589566614874117,550
1582589566637922269,550
1582589566659814100,553
1582589566683925484,554
1582589566705467846,555
1582589566728615538,550
1582589566750384655,546
1582589566773710300,555
1582589566795216387,553
1582589566817687796,547
1582589566843004002,546
1582589566866483364,551
1582589566887073280,547
