rosbagTimestamp,data
1582589560786167176,238
1582589560809272690,235
1582589560830993516,235
1582589560853453106,230
1582589560877070302,238
1582589560901777662,234
1582589560923722344,236
1582589560944862024,229
1582589560967746830,233
1582589560991134961,236
1582589561013643384,236
1582589561035409946,228
1582589561059551503,237
1582589561082481913,233
1582589561105339794,242
1582589561128049267,240
1582589561152405495,237
1582589561173630154,237
1582589561195563600,236
1582589561218558139,236
1582589561240131040,236
1582589561264237046,235
1582589561286542109,234
1582589561308843183,238
1582589561332256769,234
1582589561354342184,232
1582589561378407946,236
1582589561401156340,232
1582589561424329434,235
1582589561446194069,235
1582589561468966435,237
1582589561491140079,234
1582589561513264967,240
1582589561536528287,232
1582589561560562057,230
1582589561581834182,236
1582589561605906145,239
1582589561629661084,238
1582589561651138527,232
1582589561673388146,233
1582589561697673254,234
1582589561720574612,233
1582589561742813923,237
1582589561766177158,236
1582589561787039651,233
1582589561809595206,236
1582589561832377783,232
1582589561855392589,234
1582589561878397737,231
1582589561901621546,237
1582589561924348156,230
1582589561947414878,231
1582589561969460962,231
1582589561991869078,232
1582589562015032561,236
1582589562038087293,232
1582589562059714473,232
1582589562082813766,236
1582589562106318656,231
1582589562129613610,226
1582589562151227190,232
1582589562174193908,232
1582589562197836319,236
1582589562221206306,235
1582589562242749575,239
1582589562264917765,234
1582589562288143518,236
1582589562310434357,240
1582589562334207231,236
1582589562356063639,233
1582589562379681017,237
1582589562402789889,239
1582589562426821994,234
1582589562448285948,234
1582589562469777828,234
1582589562493061551,237
1582589562515424683,240
1582589562537913873,240
1582589562561400906,239
1582589562584692378,235
1582589562608601530,234
1582589562630573418,232
1582589562652654467,234
1582589562674709552,238
1582589562699265190,234
1582589562721074466,238
1582589562742900575,234
1582589562766118013,233
1582589562789344921,235
1582589562811133961,233
1582589562833814076,236
1582589562857484777,234
1582589562881063665,238
1582589562903243349,233
1582589562925771901,236
1582589562948872774,237
1582589562970987423,236
1582589562993862583,234
1582589563016384290,234
1582589563039493727,239
1582589563062379622,233
1582589563084546567,237
1582589563107983473,233
1582589563130082485,233
1582589563153822816,239
1582589563177410732,233
1582589563199040358,229
1582589563222923480,235
1582589563244541387,235
1582589563267182605,242
1582589563288139099,231
1582589563311710749,235
1582589563335530654,235
1582589563358538513,239
1582589563380493793,235
1582589563404522129,237
1582589563426898315,236
1582589563449242961,233
1582589563471723817,233
1582589563494350913,235
1582589563516801494,228
1582589563540218540,229
1582589563562350534,237
1582589563584495100,240
1582589563609129978,240
1582589563632878044,235
1582589563654395679,235
1582589563676985359,239
1582589563700364246,236
1582589563723269294,232
1582589563745368374,236
1582589563766481269,240
1582589563789840584,236
1582589563812635461,230
1582589563836493483,231
1582589563859315068,235
1582589563881628849,237
1582589563906195845,236
1582589563929770305,237
1582589563948491186,232
1582589563971829261,239
1582589563995151627,235
1582589564017228234,237
1582589564040811642,237
1582589564063367471,238
1582589564085709676,234
1582589564109581139,234
1582589564133600870,235
1582589564154454326,236
1582589564177239050,237
1582589564201117942,237
1582589564224769191,236
1582589564245643956,236
1582589564267596138,239
1582589564290949335,239
1582589564314029247,234
1582589564335555198,241
1582589564358306924,236
1582589564382415174,232
1582589564407093184,233
1582589564427728487,234
1582589564451320773,238
1582589564472717354,232
1582589564495666895,228
1582589564517769842,232
1582589564540910258,231
1582589564563539407,237
1582589564587025413,241
1582589564610085027,235
1582589564631574834,234
1582589564655685475,237
1582589564679172103,238
1582589564700514454,236
1582589564724391737,237
1582589564746151711,237
1582589564768664796,233
1582589564791765624,229
1582589564814030844,236
1582589564836505323,233
1582589564860063237,238
1582589564884337481,236
1582589564905924821,236
1582589564930074867,236
1582589564952325067,229
1582589564974346403,230
1582589564996662814,235
1582589565018908498,234
1582589565041401053,235
1582589565065075151,233
1582589565086443094,234
1582589565110355460,230
1582589565133018572,230
1582589565155424366,230
1582589565177814747,233
1582589565201640592,237
1582589565224069782,231
1582589565247600750,233
1582589565269081675,232
1582589565291360991,236
1582589565314605741,235
1582589565339184096,229
1582589565361397663,228
1582589565384171384,238
1582589565408887304,231
1582589565430280123,233
1582589565451497903,234
1582589565473537409,240
1582589565496814845,231
1582589565520017359,233
1582589565542875692,237
1582589565564728762,234
1582589565588421478,235
1582589565611683580,231
