rosbagTimestamp,data
1582840775741346339,259
1582840775764355558,259
1582840775787055085,261
1582840775808965101,258
1582840775831572835,259
1582840775855374802,254
1582840775878432683,260
1582840775899306153,264
1582840775922846711,261
1582840775945504134,255
1582840775968875096,260
1582840775991306181,264
1582840776013295260,266
1582840776036596634,258
1582840776060433750,262
1582840776082432806,261
1582840776104733089,261
1582840776127741148,261
1582840776151043181,261
1582840776172632443,258
1582840776196932434,261
1582840776219131202,260
1582840776241971589,257
1582840776264157115,257
1582840776287044672,262
1582840776310936744,258
1582840776333616852,251
1582840776356560296,251
1582840776377627495,256
1582840776401150372,262
1582840776423605143,265
1582840776447768107,257
1582840776469455830,263
1582840776492393691,260
1582840776514925065,258
1582840776538590413,259
1582840776560020065,258
1582840776583085457,262
1582840776605945639,261
1582840776629263114,263
1582840776650814456,259
1582840776673551805,259
1582840776697686472,259
1582840776719740385,260
1582840776742227748,256
1582840776765677950,260
1582840776788864463,264
1582840776811652378,257
1582840776832771407,257
1582840776856224908,258
1582840776878828933,262
1582840776902194906,258
1582840776925470865,262
1582840776946816112,264
1582840776969595599,256
1582840776993724675,261
1582840777016141585,260
1582840777038899332,264
1582840777061219275,256
1582840777084918627,258
1582840777106360164,258
1582840777127907855,261
1582840777152319425,253
1582840777175293085,260
1582840777197513750,252
1582840777219798474,257
1582840777242618453,262
1582840777266364611,261
1582840777288933078,261
1582840777310983450,261
1582840777333709713,258
1582840777356814753,256
1582840777380311587,262
1582840777403054908,262
1582840777424805579,262
1582840777447700672,258
1582840777471581988,254
1582840777493588375,259
1582840777516787584,256
1582840777538750900,252
1582840777562363170,259
1582840777585687396,260
1582840777606720479,259
1582840777629594359,260
1582840777652888149,258
1582840777675894036,258
1582840777697823147,260
1582840777719901572,249
1582840777744045342,259
1582840777766335104,263
1582840777789313360,256
1582840777811321026,260
1582840777835587289,265
1582840777858687004,261
1582840777880387240,256
1582840777903063125,256
1582840777926827801,260
1582840777949592648,257
1582840777970933170,254
1582840777994959722,259
1582840778017001342,256
1582840778039961810,260
1582840778062497371,256
1582840778084930137,260
1582840778107454812,263
1582840778130731088,259
1582840778152650176,257
1582840778175921073,259
1582840778198492102,259
1582840778221692848,259
1582840778244978482,259
1582840778267632337,255
1582840778290338042,262
1582840778312455541,257
1582840778334746951,257
1582840778358807498,260
1582840778382067131,255
1582840778404395095,257
1582840778426977238,258
1582840778449490977,256
1582840778471749429,262
1582840778494854317,258
1582840778518433101,255
1582840778541235487,259
1582840778562856574,259
1582840778585845163,263
1582840778609304780,259
1582840778630547104,259
1582840778654039899,267
1582840778677091223,259
1582840778699683427,262
1582840778721782580,255
1582840778745753193,263
1582840778767767518,260
1582840778791808191,258
1582840778813481486,254
1582840778836190335,254
1582840778859078764,257
1582840778881899912,253
1582840778904584179,260
1582840778926676620,259
1582840778950650360,264
1582840778973744523,256
1582840778996292871,259
1582840779018798140,258
1582840779040930866,262
1582840779064021013,254
1582840779086971157,256
1582840779109113334,258
1582840779131686857,262
1582840779155837758,261
1582840779178256972,258
1582840779199831231,258
1582840779223092191,263
1582840779245362226,263
1582840779269633568,258
1582840779291056888,261
1582840779314633345,261
1582840779337539454,261
1582840779360162453,259
1582840779381716646,254
1582840779404801254,253
1582840779427826627,258
1582840779451210684,258
1582840779473899530,264
1582840779496331368,259
1582840779518733911,257
1582840779543029253,260
1582840779565025351,255
1582840779586928658,254
1582840779610727223,255
1582840779633688765,255
1582840779655995602,260
1582840779677735256,256
1582840779701730519,256
1582840779724867878,257
1582840779746683548,259
1582840779768806143,261
1582840779791658253,261
1582840779814535894,262
1582840779838146166,260
1582840779859739634,261
1582840779883671056,257
1582840779906196269,257
1582840779928999781,260
1582840779950900445,256
1582840779974028967,256
1582840779997333732,259
1582840780020597910,254
1582840780042772297,264
1582840780065287874,257
1582840780089008428,261
1582840780109773315,259
1582840780132540924,259
1582840780155546532,256
1582840780178934214,261
1582840780201611996,265
1582840780225239743,256
1582840780246533814,260
1582840780269953624,256
1582840780293027532,256
1582840780315529534,257
1582840780338117052,262
1582840780360726876,264
1582840780384550399,264
1582840780406592984,261
1582840780429324310,257
1582840780451802710,261
1582840780475774011,261
1582840780497977399,260
1582840780520086848,256
1582840780542554286,254
1582840780566272570,259
1582840780589276972,260
1582840780610507092,257
1582840780633247798,256
1582840780656925909,256
1582840780680610022,256
1582840780703161943,259
1582840780725503698,258
1582840780747800720,258
1582840780770319654,259
1582840780795057965,256
1582840780815845308,256
1582840780839144637,261
1582840780861643209,257
1582840780885112815,261
1582840780906909056,261
1582840780930230830,258
1582840780953164457,266
1582840780976501518,263
1582840780997379360,256
1582840781021685039,254
1582840781043673825,258
1582840781067010861,266
1582840781088966990,261
1582840781112499715,260
1582840781134973155,264
1582840781157780064,262
1582840781180605507,266
1582840781203600120,263
1582840781225963634,257
1582840781248632354,261
1582840781271217436,261
1582840781294030466,259
1582840781317862568,264
1582840781340515837,261
1582840781362798616,262
1582840781385539613,255
1582840781407967762,256
1582840781430486944,260
1582840781453319861,259
1582840781476565438,261
1582840781498929711,262
1582840781522069450,260
1582840781544967258,259
1582840781566889864,258
1582840781589870833,258
1582840781613126723,257
1582840781635958194,260
1582840781658464516,258
1582840781681627668,258
1582840781703527065,254
1582840781726741329,252
1582840781749493368,263
1582840781772051323,261
1582840781794090417,267
1582840781818052779,258
1582840781840344795,259
1582840781862696498,266
1582840781886830142,263
1582840781909019973,263
1582840781932275660,259
1582840781953343337,258
1582840781976981359,260
1582840781999345812,254
1582840782023834369,258
1582840782044886441,259
1582840782067290279,258
1582840782090365293,254
1582840782114067997,257
1582840782135662610,264
1582840782159558948,264
1582840782180440989,257
1582840782204564055,254
1582840782226980013,259
1582840782249736424,263
1582840782272856497,259
1582840782295773534,263
1582840782317805433,259
1582840782340545548,259
1582840782363699273,258
1582840782387219124,259
1582840782409558536,263
1582840782432269887,262
1582840782455051161,255
1582840782478158943,262
1582840782501174483,259
1582840782523231942,258
1582840782545580539,263
1582840782569052644,258
1582840782592355000,261
1582840782613886736,264
1582840782637576066,264
1582840782660579773,263
1582840782683076268,257
1582840782705691446,258
1582840782729162441,261
1582840782750886836,265
1582840782773760602,261
1582840782795603261,260
1582840782818352856,258
1582840782842555821,255
1582840782865118445,255
1582840782886852906,259
1582840782909599316,261
1582840782933525460,265
1582840782956781291,260
1582840782978097403,259
1582840783000994670,259
1582840783023820599,258
1582840783046303762,262
1582840783069099540,257
1582840783091969184,262
1582840783114416469,256
1582840783138092649,263
1582840783161019201,261
1582840783182295546,258
1582840783206369138,254
1582840783228944489,260
1582840783251614997,260
1582840783274562333,264
1582840783297074942,263
1582840783319757140,259
1582840783343272464,256
1582840783364425633,258
1582840783388432867,257
1582840783410770698,261
1582840783434494239,260
1582840783455889701,264
1582840783478424815,257
1582840783502049673,260
1582840783525177043,260
1582840783546569801,260
1582840783569236964,252
1582840783593513689,256
1582840783616240749,266
1582840783637369190,262
1582840783661465483,269
1582840783683916276,265
1582840783706379704,260
1582840783728864081,260
1582840783751176248,258
1582840783774830026,262
1582840783797362984,260
1582840783821027369,257
1582840783841829471,260
1582840783864680488,261
1582840783889690490,261
1582840783911475385,257
1582840783933816514,260
1582840783957368915,254
1582840783980541809,265
1582840784002624036,260
1582840784025541070,263
1582840784048117287,257
1582840784070832719,258
1582840784093353887,259
1582840784116381068,266
1582840784138740186,266
1582840784162663466,259
1582840784185169725,263
1582840784206800805,258
1582840784230865383,258
1582840784252956330,259
1582840784276020848,258
1582840784298045726,260
1582840784321006684,262
1582840784344465028,259
1582840784366664732,266
1582840784389596393,265
1582840784411824525,262
1582840784434545326,254
1582840784456750827,258
1582840784481287477,260
1582840784503080686,262
1582840784526744105,260
1582840784549463473,255
1582840784572072330,253
1582840784593648552,257
1582840784616620299,261
1582840784639930104,262
1582840784662440529,259
1582840784684586187,259
1582840784707673809,263
1582840784731054845,260
1582840784753457243,260
1582840784776471195,260
1582840784798709029,257
1582840784821678756,255
1582840784845468393,261
1582840784866796828,261
1582840784889588625,254
1582840784913859640,258
1582840784936517513,260
1582840784958733539,259
1582840784981568243,264
1582840785003982463,257
1582840785026965112,255
1582840785048420307,265
1582840785072491732,261
1582840785094733012,264
1582840785118876656,256
1582840785141553681,259
1582840785162834499,258
1582840785187054344,258
1582840785209387326,258
1582840785232623670,259
1582840785253860025,259
1582840785277385280,256
1582840785299692003,256
1582840785323099934,260
1582840785345468276,262
1582840785367875881,260
1582840785391575617,263
1582840785414436893,263
1582840785435678749,261
1582840785458660819,257
1582840785483168274,261
