rosbagTimestamp,data
1582651293396878349,551
1582651293417417851,545
1582651293439804175,549
1582651293463796254,548
1582651293484582623,552
1582651293508183547,551
1582651293531592634,558
1582651293554129287,550
1582651293577856320,544
1582651293598865900,551
1582651293621469001,556
1582651293645326880,544
1582651293667841711,554
1582651293690334007,547
1582651293712623114,547
1582651293736264751,545
1582651293758540686,553
1582651293781070636,551
1582651293803533646,557
1582651293827941314,544
1582651293849837160,544
1582651293871731037,546
1582651293895931820,543
1582651293918044494,555
1582651293942527059,547
1582651293962529983,542
1582651293986895710,548
1582651294009798565,548
1582651294032534406,552
1582651294053538052,548
1582651294076931732,552
1582651294099663209,552
1582651294122603138,540
1582651294146549159,547
1582651294168087987,545
1582651294190674934,549
1582651294214496720,555
1582651294237334572,557
1582651294260796613,550
1582651294280945533,546
1582651294303578258,544
1582651294327536822,550
1582651294349930502,547
1582651294372655656,547
1582651294396408762,547
1582651294419243609,549
1582651294442007689,547
1582651294464747773,543
1582651294487311923,551
1582651294509792906,549
1582651294532743933,553
1582651294555455542,545
1582651294577901855,549
1582651294600438225,549
1582651294622938152,552
1582651294645876150,548
1582651294669175055,546
1582651294691613231,553
1582651294714057197,547
1582651294736455545,542
1582651294760494105,546
1582651294782871655,548
1582651294806116299,550
1582651294828425281,548
1582651294850872828,547
1582651294874710831,555
1582651294897607148,548
1582651294919111389,552
1582651294941849395,553
1582651294964603875,549
1582651294987931785,550
1582651295009683959,545
1582651295032824375,550
1582651295056581331,547
1582651295079096821,555
1582651295100396835,551
1582651295124243663,552
1582651295146572011,548
1582651295170413355,548
1582651295191962037,552
1582651295214687460,547
1582651295238525488,546
1582651295260935995,546
1582651295283688534,550
1582651295306145522,543
1582651295328508936,551
1582651295352260907,551
1582651295374804317,553
1582651295397161136,552
1582651295419900308,547
1582651295443567642,548
1582651295466083748,552
1582651295487771682,549
1582651295511779474,551
1582651295534177663,548
1582651295557067252,550
1582651295579603010,549
1582651295602397587,555
1582651295624452928,549
1582651295648194674,545
1582651295669692438,549
1582651295693604220,543
1582651295716341076,547
1582651295738675928,550
1582651295760997640,554
1582651295784018757,548
1582651295807585118,548
1582651295830128708,552
1582651295853804303,549
1582651295875424919,545
1582651295897690965,549
1582651295921540006,549
1582651295944089017,549
1582651295966632075,560
1582651295989384606,553
1582651296011859788,547
1582651296035430019,554
1582651296056690158,548
1582651296080382019,545
1582651296102943320,548
1582651296125340140,544
1582651296147837943,553
1582651296171679769,552
1582651296194058420,548
1582651296216621183,545
1582651296239920389,549
1582651296261982751,549
1582651296284378848,543
1582651296307547483,546
1582651296331299623,560
1582651296353176460,549
1582651296375795530,549
1582651296399407725,553
1582651296422332298,554
1582651296443657076,548
1582651296467694878,553
1582651296489903522,549
1582651296514023357,553
1582651296536427400,548
1582651296557881615,540
1582651296580669140,541
1582651296604175992,544
1582651296626897496,542
1582651296649535603,542
1582651296671694872,546
1582651296694646898,550
1582651296718226527,549
1582651296740114892,545
1582651296763475544,540
1582651296785505733,542
1582651296809270398,545
1582651296831665481,552
1582651296854020959,556
1582651296877424178,560
1582651296900107283,544
1582651296922686496,545
1582651296945309292,549
1582651296967843822,554
1582651296990794307,552
