rosbagTimestamp,data
1582651293415483145,219
1582651293437865402,227
1582651293461963553,230
1582651293482837740,228
1582651293506406786,224
1582651293529764430,228
1582651293552434916,226
1582651293575979526,228
1582651293597124530,228
1582651293619701316,220
1582651293643560217,219
1582651293665968001,219
1582651293688367268,227
1582651293710983702,230
1582651293734419255,230
1582651293756711954,228
1582651293779322507,227
1582651293801876194,223
1582651293825987029,226
1582651293847973854,227
1582651293869937211,232
1582651293893899902,232
1582651293916424881,228
1582651293940146833,224
1582651293960644119,227
1582651293985210453,226
1582651294007947157,223
1582651294030586761,225
1582651294051792621,217
1582651294075137238,229
1582651294097713320,228
1582651294120928776,224
1582651294144589331,226
1582651294166275317,223
1582651294188795414,231
1582651294212470166,226
1582651294235162186,229
1582651294257968534,222
1582651294279560300,229
1582651294302157623,218
1582651294325827699,225
1582651294348113390,228
1582651294370912115,224
1582651294394421610,227
1582651294417471729,229
1582651294439988280,227
1582651294462794557,227
1582651294485573134,227
1582651294507878944,226
1582651294530805558,222
1582651294553601705,231
1582651294576182097,224
1582651294598702576,228
1582651294621065111,228
1582651294644037868,225
1582651294667564001,219
1582651294689852081,230
1582651294712279559,230
1582651294734843883,228
1582651294758671316,225
1582651294780874604,221
1582651294804512339,221
1582651294826461163,222
1582651294848901616,226
1582651294872674077,230
1582651294895862104,228
1582651294917139416,228
1582651294940072053,226
1582651294962755258,225
1582651294986149239,229
1582651295007790623,228
1582651295030925731,228
1582651295054699927,224
1582651295077306634,226
1582651295098603960,227
1582651295122303035,228
1582651295144704678,222
1582651295168541266,230
1582651295189922079,230
1582651295212925953,221
1582651295236773408,223
1582651295259168365,228
1582651295281457599,226
1582651295304378481,226
1582651295326661283,226
1582651295350514877,229
1582651295373074930,227
1582651295395446993,223
1582651295418236317,228
1582651295441704068,224
1582651295464277501,224
1582651295485875583,222
1582651295509893331,225
1582651295532371921,225
1582651295554903209,227
1582651295577531745,227
1582651295600481218,225
1582651295622761115,229
1582651295646552653,228
1582651295667842711,224
1582651295691850492,228
1582651295714515603,227
