rosbagTimestamp,data
1582649079771950110,543
1582649079793606882,546
1582649079816561900,545
1582649079839987997,546
1582649079862399424,541
1582649079884641233,538
1582649079908175004,548
1582649079930648999,552
1582649079954125343,540
1582649079976702648,540
1582649079999641093,544
1582649080021778191,543
1582649080043800347,547
1582649080066428177,539
1582649080088811656,539
1582649080111337639,544
1582649080134986429,546
1582649080157577854,542
1582649080179977643,546
1582649080202705080,545
1582649080226253221,545
1582649080248560166,545
1582649080270943239,539
1582649080295061618,541
1582649080317642448,545
1582649080342053499,543
1582649080362794879,547
1582649080385596296,542
1582649080408483256,545
1582649080431462429,547
1582649080453651590,547
1582649080476487878,543
1582649080499428064,551
1582649080522140291,543
1582649080544219271,543
1582649080568248091,546
1582649080590621062,547
1582649080613232850,544
1582649080636359471,544
1582649080658517360,542
1582649080682114412,546
1582649080704521221,539
1582649080727751650,538
1582649080750383996,546
1582649080772862789,546
1582649080795831039,538
1582649080818572726,541
1582649080841024797,547
1582649080864241745,538
1582649080886223081,543
1582649080910089409,538
1582649080931346443,535
1582649080954325852,546
1582649080978082336,538
1582649081001618314,551
1582649081022747025,538
1582649081045492657,546
1582649081068087991,546
1582649081091727764,543
1582649081114141803,545
1582649081136598696,537
1582649081159124560,539
1582649081182903573,539
1582649081205425283,538
1582649081227906488,546
1582649081250086075,543
1582649081273797798,543
1582649081296223834,542
1582649081318704684,549
1582649081341347206,545
1582649081365552855,542
1582649081388220015,545
1582649081409810482,541
1582649081432180010,541
1582649081455856140,539
1582649081478048287,543
1582649081500025792,544
1582649081523739683,544
1582649081546396677,544
1582649081570136217,548
1582649081591232774,548
1582649081614748776,540
1582649081637190362,546
1582649081661375336,538
1582649081681830068,546
1582649081705583897,549
1582649081729415068,542
1582649081751580273,546
1582649081773322650,550
1582649081797446390,545
1582649081820172485,543
1582649081842775244,544
1582649081865388966,539
1582649081888028011,542
1582649081910640867,539
1582649081934443065,545
1582649081956712083,543
1582649081979700982,550
1582649082002555185,547
1582649082025021592,543
1582649082047720792,541
1582649082070061110,550
1582649082092418606,546
1582649082116319771,537
1582649082138750454,543
1582649082160959423,543
1582649082183260811,543
1582649082207099949,543
1582649082229472681,547
1582649082251764930,543
1582649082274520192,543
1582649082297912763,542
1582649082320382083,538
1582649082342831369,539
1582649082366321334,546
1582649082388444106,541
1582649082412077751,544
1582649082433304737,545
1582649082456764545,553
1582649082479729764,545
1582649082502473062,545
1582649082526754291,538
1582649082548238614,542
1582649082570918946,542
1582649082591661512,539
1582649082615966050,547
1582649082637896680,545
1582649082661959866,542
1582649082684370347,542
1582649082708097108,536
1582649082729430939,541
1582649082753163794,541
1582649082775636216,541
1582649082798258784,547
1582649082820824704,540
1582649082843476283,541
1582649082867433961,541
1582649082889226930,543
1582649082912097623,543
1582649082934560132,542
1582649082957685674,548
1582649082980407209,536
1582649083003650685,546
1582649083026060139,546
1582649083048528653,543
1582649083071073597,544
1582649083094579360,541
1582649083117117903,540
1582649083140138647,542
1582649083162401480,546
1582649083185866026,542
1582649083208092610,542
1582649083230556235,540
1582649083254225870,545
1582649083276146467,539
1582649083299439478,541
1582649083321828014,541
1582649083345144444,540
1582649083367719924,547
1582649083391463862,543
1582649083412479517,549
1582649083436310983,547
1582649083458347470,543
1582649083481870702,547
1582649083503961519,542
1582649083526517088,544
1582649083549577640,541
1582649083573055979,553
1582649083595521196,549
1582649083617416301,546
1582649083640978122,548
1582649083663537302,554
1582649083686568937,550
1582649083709649651,554
1582649083731939442,550
1582649083754289451,556
1582649083777851741,568
1582649083800393742,575
1582649083822802798,587
1582649083845595358,585
1582649083869470920,579
1582649083890170964,560
1582649083913977224,560
1582649083937300231,558
1582649083959880057,554
1582649083982285228,551
1582649084004732150,559
1582649084028058487,556
1582649084050473333,550
1582649084074031770,552
1582649084095462412,555
1582649084118121006,552
1582649084141749589,563
1582649084163947375,560
1582649084186872898,567
1582649084209476004,567
1582649084233425402,570
1582649084255573528,568
1582649084278566801,570
1582649084300876818,574
1582649084324291445,578
1582649084346855536,571
1582649084369472791,560
1582649084391420246,567
1582649084415145205,566
1582649084438072159,571
1582649084460140426,573
1582649084482841679,578
1582649084505487395,582
1582649084529258231,579
1582649084551660526,582
1582649084573830600,580
1582649084596731490,584
1582649084619888027,584
1582649084643947091,581
1582649084664918011,581
1582649084688538836,579
1582649084710951086,585
1582649084733555871,579
1582649084757239047,582
1582649084778097205,578
1582649084802466938,584
1582649084824849434,583
1582649084847477660,577
1582649084870005637,579
1582649084892591136,578
1582649084916127634,576
1582649084938560032,579
1582649084960789333,580
1582649084983335005,584
1582649085007279014,588
1582649085029655536,584
1582649085052232576,584
1582649085074760377,581
1582649085098079157,575
1582649085120850662,578
1582649085143213557,583
1582649085165586534,587
1582649085188954618,587
1582649085211504547,587
1582649085234660286,590
1582649085257230107,583
1582649085279634373,591
1582649085302141974,586
1582649085325847401,590
1582649085347501350,586
1582649085370296032,586
1582649085393203581,591
1582649085416906053,591
1582649085440216147,591
1582649085461729114,587
1582649085484252277,587
1582649085508201473,582
1582649085531113649,582
1582649085552540005,582
1582649085576249683,589
1582649085599347569,586
1582649085622375153,590
1582649085643936144,591
1582649085666435446,587
1582649085690587143,583
1582649085712815221,588
1582649085735889468,588
1582649085757975054,588
1582649085780183682,582
1582649085804567822,580
1582649085826577938,580
1582649085850144305,584
1582649085871662880,587
1582649085894463142,583
1582649085918033109,591
1582649085939310810,587
1582649085962505414,587
1582649085986254768,593
1582649086008700103,584
1582649086032184819,591
1582649086053358276,591
1582649086076857053,584
1582649086099535176,584
1582649086123432494,588
1582649086144781409,578
1582649086167352876,583
1582649086191058303,583
1582649086213688475,587
1582649086236413984,586
1582649086258340447,587
1582649086282093590,587
1582649086304770097,583
1582649086327523285,587
1582649086350028122,591
1582649086372804926,593
1582649086395516413,589
1582649086418319792,587
1582649086440896931,586
1582649086464288420,582
1582649086486805008,587
1582649086510212680,587
1582649086531555689,587
1582649086555462663,583
1582649086577380080,590
1582649086601354136,590
1582649086622483689,590
1582649086645908275,585
1582649086668196249,588
1582649086692131858,588
1582649086714658004,592
1582649086737532788,587
1582649086759889513,584
1582649086782604061,587
1582649086806166159,591
1582649086827661213,588
1582649086850395034,588
1582649086873730364,588
1582649086896307897,586
1582649086919068426,590
1582649086942088919,585
1582649086964618348,589
1582649086987772060,590
1582649087010235543,590
1582649087032473277,593
1582649087055959359,594
1582649087078275352,591
1582649087101807607,587
1582649087123615267,586
1582649087147278915,590
1582649087169633076,587
1582649087192616824,595
1582649087215555315,595
1582649087238368631,589
1582649087261293043,592
1582649087283796629,597
1582649087306404073,589
1582649087329210062,591
1582649087351696702,592
1582649087375220178,588
1582649087397136128,592
1582649087419707620,594
1582649087443138573,589
1582649087465738243,588
1582649087488462345,588
1582649087510994354,589
1582649087533545529,588
1582649087556937200,588
1582649087580441014,584
1582649087601449926,586
1582649087624731712,589
1582649087649211212,592
1582649087671711365,592
1582649087693776400,592
1582649087715878310,588
1582649087737659436,589
1582649087762056020,592
1582649087785695616,590
1582649087807176140,583
1582649087829315660,588
1582649087853405654,590
1582649087876210962,593
1582649087897432276,591
1582649087921068105,592
1582649087943629478,589
1582649087966630679,582
1582649087989368942,583
1582649088011822727,583
1582649088035947175,583
1582649088057497964,588
1582649088080042193,585
1582649088102637512,589
1582649088126184663,583
1582649088149426602,583
1582649088171720406,588
1582649088194324965,587
1582649088216617129,587
1582649088239941100,591
1582649088262428692,592
1582649088285347196,594
1582649088308222502,588
1582649088330949490,587
1582649088354203279,587
1582649088375792823,594
1582649088399597921,587
1582649088421905628,583
1582649088444376566,588
1582649088468214878,593
1582649088489902104,590
1582649088512608506,590
1582649088536801296,592
1582649088558504430,592
1582649088581071013,598
1582649088603981870,587
1582649088627298560,587
1582649088649793115,590
1582649088672473936,586
1582649088695305173,590
1582649088717829395,590
1582649088741458199,594
1582649088764210251,590
1582649088785783259,584
1582649088809154560,587
1582649088831914716,590
1582649088855685952,589
1582649088876976262,589
1582649088899387765,593
1582649088923360578,588
1582649088946326969,588
1582649088967418756,592
1582649088990357959,588
1582649089014365009,595
1582649089036805167,587
1582649089059613458,585
1582649089082278321,583
1582649089104830336,586
1582649089127294918,586
1582649089151664760,587
1582649089173013449,587
1582649089195550632,583
1582649089219715117,586
1582649089242013968,586
1582649089264275069,588
1582649089287272458,590
1582649089309479978,586
1582649089333433868,592
1582649089355510531,589
1582649089378109877,593
1582649089401552352,591
1582649089424101157,594
1582649089446380558,591
1582649089469281922,584
1582649089492130426,607
1582649089514662808,618
1582649089538216501,625
1582649089560285543,623
1582649089582908136,623
1582649089605584580,619
1582649089629482166,622
1582649089650339628,629
1582649089673839420,621
1582649089697457380,613
1582649089719742387,620
1582649089742369315,614
1582649089765003213,613
1582649089787650338,607
1582649089811329370,607
1582649089833448881,611
1582649089855452471,611
1582649089878744981,615
1582649089902474420,619
1582649089924633390,623
1582649089947658523,621
1582649089970075493,617
1582649089992363624,614
1582649090016147708,606
1582649090037851491,608
1582649090061533167,614
1582649090084461085,599
1582649090106780003,596
1582649090130139882,594
1582649090151415235,599
1582649090175284176,606
1582649090197861063,600
1582649090221600875,604
1582649090242718541,595
1582649090266216073,595
1582649090288768810,599
1582649090311470597,604
1582649090334357860,601
1582649090356303066,601
1582649090379751820,597
1582649090402582132,601
1582649090425277159,590
1582649090447680199,595
1582649090471291387,593
1582649090493551304,598
1582649090517397481,600
1582649090538184382,586
1582649090562057069,592
1582649090584685922,595
1582649090608295253,593
1582649090629511058,597
1582649090652355896,596
1582649090675603333,596
1582649090699639386,597
1582649090720703818,605
1582649090744103371,600
1582649090766602279,596
1582649090790282056,600
1582649090812251390,592
1582649090834393174,598
1582649090858545336,591
1582649090880869738,593
1582649090904708061,593
1582649090925974861,588
1582649090949726545,592
1582649090972306146,592
1582649090994665928,593
1582649091017393435,589
1582649091039771110,594
1582649091063500175,594
1582649091085952600,594
1582649091108509785,588
1582649091130783721,589
1582649091154338761,595
1582649091176645319,595
1582649091200022034,587
1582649091222379701,591
1582649091245228564,591
1582649091268251939,588
1582649091290496347,591
1582649091313872881,590
1582649091336404640,594
1582649091358487798,593
1582649091381959280,588
1582649091404555791,590
1582649091427165149,590
1582649091450064616,592
1582649091473191888,596
1582649091495351373,596
1582649091517530646,596
1582649091541343647,601
1582649091564021335,591
1582649091586645550,588
1582649091609518424,590
1582649091631687500,592
1582649091655534798,597
1582649091677305040,610
1582649091699643130,610
1582649091723383772,614
1582649091746089329,599
1582649091768720141,593
1582649091792372940,593
1582649091813794009,590
1582649091836762204,589
1582649091859955293,594
1582649091883158445,585
1582649091904608264,582
1582649091928161122,574
1582649091951575886,576
1582649091974528472,578
1582649091995822390,584
1582649092018702928,574
1582649092041363564,573
1582649092065227432,581
1582649092086148823,582
1582649092110355829,582
1582649092132925219,591
1582649092155481969,592
1582649092179087831,588
1582649092200224330,587
1582649092224166209,590
1582649092246818186,589
1582649092270058536,585
1582649092291547000,593
1582649092315440997,588
1582649092338285363,592
1582649092360593011,587
1582649092382842942,590
1582649092406402188,587
1582649092428862808,589
1582649092451839324,581
1582649092474174028,580
1582649092496543952,582
1582649092520213762,580
1582649092543188816,584
1582649092565540570,584
1582649092588114137,588
1582649092611049641,583
1582649092633814813,583
1582649092657437752,589
1582649092680021603,589
1582649092701894205,586
1582649092724801277,584
1582649092748728325,585
1582649092768925082,584
1582649092791268860,581
1582649092814137775,586
1582649092836945339,588
1582649092860984369,592
1582649092883667771,591
1582649092907640179,590
1582649092930115828,590
1582649092952788917,590
1582649092975247356,583
1582649092997543080,587
1582649093021458749,583
1582649093043682263,583
1582649093066678158,587
1582649093089169740,584
1582649093111632858,586
1582649093135788722,586
1582649093156827267,587
1582649093179844897,586
1582649093203615898,590
1582649093225842514,586
1582649093249699351,582
1582649093271020812,575
1582649093294046076,584
1582649093317569330,586
1582649093340170318,580
1582649093361918397,583
1582649093384338025,585
1582649093408160537,584
1582649093430569695,580
1582649093452985848,580
1582649093475193344,586
1582649093498637239,595
1582649093522103799,586
1582649093544699836,586
1582649093567613725,581
1582649093590102047,581
1582649093612412006,583
1582649093636692555,579
1582649093657897165,587
1582649093680357732,580
1582649093704186502,588
1582649093726855012,585
1582649093749458722,589
1582649093771783476,586
1582649093795547276,583
1582649093817990995,583
1582649093840379931,588
1582649093863289251,588
1582649093885581098,587
1582649093909529313,578
1582649093932184418,587
1582649093954313989,587
1582649093976762902,591
1582649094000404920,588
1582649094023379312,586
1582649094044499515,582
1582649094068416789,586
1582649094090791500,585
1582649094114378950,581
1582649094136061911,590
1582649094159605715,594
1582649094182036448,583
1582649094205562746,580
1582649094228131656,583
1582649094250026898,585
1582649094272678425,585
1582649094296239963,581
1582649094318924380,580
1582649094341690190,581
1582649094364614817,583
1582649094386601543,581
1582649094409622618,588
1582649094432373587,587
1582649094455477665,597
1582649094477860787,589
1582649094501872714,584
1582649094524609823,587
1582649094546372287,591
1582649094569538425,585
1582649094592204848,586
1582649094614541093,578
1582649094636911706,574
1582649094659378472,573
1582649094683496129,581
1582649094706089055,596
1582649094728793064,596
1582649094750346832,590
1582649094773970727,588
1582649094796714940,588
1582649094819258559,592
1582649094841781028,597
1582649094864225026,593
1582649094888220437,594
1582649094910808441,610
1582649094933389519,614
1582649094956067968,611
1582649094978507458,612
1582649095002316179,607
1582649095023615477,610
1582649095047628982,599
1582649095070125552,592
1582649095092836520,592
1582649095115622034,588
1582649095138082079,592
1582649095160802264,589
1582649095184351427,586
1582649095206588700,590
1582649095228858968,589
1582649095251485967,587
1582649095275552717,585
1582649095297949246,593
1582649095320112304,590
1582649095343380052,587
1582649095366001322,591
1582649095388300778,594
1582649095410906277,591
1582649095433485856,590
1582649095457502923,596
1582649095480148815,588
1582649095501785913,592
1582649095524475600,591
1582649095548097230,599
1582649095570890648,588
1582649095594333527,584
1582649095615439293,594
1582649095639892140,598
1582649095661615983,597
1582649095685484052,596
1582649095707385265,587
1582649095729733553,588
1582649095753416329,587
1582649095775998595,588
1582649095798571960,588
1582649095820548491,584
1582649095843643196,589
1582649095867551847,593
1582649095889776949,593
1582649095912439585,586
1582649095934760631,590
1582649095958311077,589
1582649095980711508,592
1582649096002735989,595
1582649096025845708,588
1582649096049406298,586
1582649096071881643,589
1582649096094009435,589
1582649096116463461,587
1582649096140055504,587
1582649096162345172,593
1582649096184912352,592
1582649096207683050,584
1582649096231397613,592
1582649096253357876,592
1582649096277138687,589
1582649096299764035,593
1582649096322350009,596
1582649096344789138,587
1582649096368463085,594
1582649096389611717,593
1582649096413417655,591
1582649096436533049,589
1582649096458533654,590
1582649096480578076,591
1582649096504205337,583
1582649096526966850,585
1582649096550055079,591
1582649096572661853,589
1582649096595122475,585
1582649096617482640,591
1582649096640799054,588
1582649096664588528,585
1582649096685518627,578
1582649096708360029,589
1582649096732204082,601
1582649096754687739,585
1582649096777029871,593
1582649096799571441,586
1582649096823412850,586
1582649096845974503,587
1582649096868331343,589
1582649096891603628,588
1582649096914049415,588
1582649096936817110,584
1582649096959481971,590
1582649096981822680,592
1582649097004698586,589
1582649097028431919,591
1582649097051743732,595
1582649097072993615,591
1582649097095715225,589
1582649097120132022,588
1582649097142010603,588
1582649097163477473,585
1582649097187421892,589
1582649097209906445,587
1582649097232463688,591
1582649097255501437,591
1582649097277886701,584
1582649097301719715,592
1582649097324358524,583
1582649097347145406,587
1582649097369551276,595
1582649097391999199,587
1582649097415598256,585
1582649097438525034,589
1582649097459867208,594
1582649097484102905,601
1582649097505976567,600
1582649097528297254,599
1582649097551430038,593
1582649097573821813,592
1582649097597689434,591
1582649097620645093,590
1582649097643086149,586
1582649097665538097,583
1582649097688204534,576
1582649097710943201,576
1582649097735904771,580
1582649097755658883,574
1582649097779326569,580
1582649097802176966,581
1582649097825218292,589
1582649097846634290,589
1582649097870395575,593
1582649097892342961,585
1582649097914967545,594
1582649097938372885,592
1582649097960733384,592
1582649097984596212,588
1582649098007375415,590
1582649098029702905,584
1582649098052677714,580
1582649098075643229,588
1582649098098149551,586
1582649098121610632,581
1582649098143182101,583
1582649098165683755,585
1582649098189767399,586
1582649098212572359,584
1582649098234186917,580
1582649098257143673,587
1582649098279914667,589
1582649098302250178,587
1582649098326430272,588
1582649098347766342,587
1582649098370519054,591
1582649098394212811,590
1582649098416908990,588
1582649098439508998,583
1582649098461666675,584
1582649098485501114,596
1582649098508065997,588
1582649098529511939,587
1582649098553406430,587
1582649098576114718,585
1582649098598580299,592
1582649098622323951,591
