rosbagTimestamp,data
1582664803315515054,599
1582664803338273064,599
1582664803360034338,595
1582664803383913141,590
1582664803406896468,598
1582664803429733599,599
1582664803451684618,601
1582664803474456442,600
1582664803498259502,602
1582664803521627575,596
1582664803544333022,592
1582664803565806053,598
1582664803588500014,594
1582664803611122256,602
1582664803633231535,601
1582664803655108347,597
1582664803677930531,598
1582664803701272938,598
1582664803723345861,598
1582664803747858274,591
1582664803770792014,595
1582664803794184741,600
1582664803816393829,596
1582664803839568830,597
1582664803861082672,601
1582664803885006764,597
1582664803907848503,595
1582664803930100646,598
1582664803950445568,596
1582664803973430101,592
1582664803997187739,596
1582664804019893534,597
1582664804041225345,593
1582664804064696639,597
1582664804089954340,592
1582664804112760674,602
1582664804134528077,595
1582664804157859435,599
1582664804180340944,601
1582664804204170937,600
1582664804226559956,604
1582664804249030917,599
1582664804271858682,600
1582664804293808860,592
1582664804318160845,596
1582664804340621794,602
1582664804363782784,598
1582664804385293230,592
1582664804407584266,593
1582664804431849316,603
1582664804453505065,600
1582664804476804587,600
1582664804499799903,592
1582664804522793499,589
1582664804543934712,596
1582664804567723360,598
1582664804590132844,598
1582664804613047290,603
1582664804635166030,601
1582664804659381896,597
1582664804681246403,605
1582664804703318202,601
1582664804725424985,595
1582664804747570513,603
1582664804772842397,604
1582664804795541068,601
1582664804818454617,599
1582664804840313230,599
1582664804863921621,600
1582664804886396069,600
1582664804909456797,595
1582664804932203375,595
1582664804955226871,594
1582664804977273448,600
1582664804999994042,604
1582664805023484687,600
1582664805045132953,599
1582664805068701595,599
1582664805091286245,597
1582664805115076173,601
1582664805136407224,593
1582664805159833925,599
1582664805182257830,602
1582664805205691281,599
1582664805227248484,592
1582664805251117503,599
1582664805274160981,599
1582664805296424369,598
1582664805319713495,590
1582664805341173188,594
1582664805364612660,599
1582664805388279094,603
1582664805409463193,602
1582664805432315411,601
1582664805455384494,600
1582664805478053094,603
1582664805501951819,602
1582664805523592639,601
1582664805545959993,598
1582664805569840665,598
1582664805592336270,599
1582664805614132513,594
1582664805637848304,594
1582664805660718826,597
1582664805683980713,599
1582664805705240958,599
1582664805728615526,595
1582664805751392995,594
1582664805774746807,604
1582664805797391265,598
1582664805820558100,594
1582664805842250867,597
1582664805865054007,597
1582664805889296438,603
1582664805910191070,602
1582664805933219539,602
1582664805957125276,600
1582664805979861948,600
1582664806001617670,597
1582664806024402415,597
1582664806047755292,593
1582664806070038764,593
1582664806093085141,593
1582664806115962809,601
1582664806138574845,601
1582664806161139943,597
1582664806184777927,602
1582664806206266703,605
1582664806230368112,604
1582664806253250453,599
1582664806276054584,599
1582664806297221496,599
1582664806321998570,601
1582664806343607925,598
1582664806366725436,598
1582664806388133891,602
1582664806411932840,602
1582664806433840443,600
1582664806457597401,601
1582664806480268313,597
1582664806502922613,601
1582664806525387104,597
1582664806548155092,599
1582664806571222340,599
1582664806594337416,603
1582664806616341921,603
1582664806639934105,598
1582664806662820467,601
1582664806683772343,597
1582664806706163576,597
1582664806730970285,598
1582664806754456879,601
1582664806776139248,595
1582664806798766728,598
1582664806822143048,603
1582664806845073210,601
1582664806867713244,597
1582664806888922851,595
1582664806912836509,600
1582664806935482215,597
1582664806959075037,601
1582664806980314296,603
1582664807002992485,596
1582664807027221341,596
1582664807050141263,600
1582664807071228447,600
1582664807094244730,602
1582664807118534152,604
1582664807140353455,598
1582664807163333988,603
1582664807185137148,604
1582664807209263366,596
1582664807231725008,601
1582664807254623953,600
1582664807276412119,600
1582664807298987521,600
1582664807321902741,604
1582664807346312110,600
1582664807367603815,604
1582664807391248914,600
1582664807413633647,603
1582664807436613980,597
1582664807459446398,597
1582664807482136493,608
1582664807504747863,598
1582664807527549686,596
1582664807550457448,600
1582664807572729622,601
1582664807594948712,597
1582664807620042565,595
1582664807641968010,603
1582664807664294560,595
1582664807686767608,602
1582664807710128815,598
1582664807730809730,600
1582664807752899630,597
1582664807776370317,605
1582664807798541325,593
1582664807822208375,598
1582664807845060638,598
1582664807867441453,600
1582664807890049988,596
1582664807913358306,597
1582664807935897752,601
1582664807958107630,598
1582664807980298889,597
1582664808003493284,597
1582664808026653880,600
1582664808048839492,597
