rosbagTimestamp,data
1582741371305264183,529
1582741371327903015,529
1582741371349271944,541
1582741371372490910,533
1582741371395483568,531
1582741371419397789,535
1582741371441404741,530
1582741371464277565,529
1582741371487830332,529
1582741371509720001,533
1582741371531618926,534
1582741371554452549,534
1582741371576646701,532
1582741371599752370,530
1582741371621961046,536
1582741371645787834,537
1582741371668566055,532
1582741371692767625,538
1582741371714326856,538
1582741371737080361,530
1582741371759600940,537
1582741371783465840,530
1582741371804686880,539
1582741371827542563,535
1582741371851287182,537
1582741371874164523,530
1582741371897860680,526
1582741371918455053,534
1582741371942424289,534
1582741371964329152,530
1582741371988608561,533
1582741372009771959,531
1582741372032190998,535
1582741372055949183,531
1582741372078484892,533
1582741372101113118,531
1582741372123913859,526
1582741372146630602,531
1582741372170361731,527
1582741372191483739,532
1582741372215148518,535
1582741372237773831,531
1582741372260330784,527
1582741372283294125,523
1582741372305814028,524
1582741372329463273,536
1582741372351989139,535
1582741372373361993,537
1582741372396762004,535
1582741372419560781,530
1582741372443290396,534
1582741372464881414,537
1582741372487992713,535
1582741372510653583,531
1582741372534137271,530
1582741372556897077,533
1582741372579268905,526
1582741372601751756,528
1582741372624158771,531
1582741372648202074,528
1582741372669595622,534
1582741372693354056,534
1582741372715604437,530
1582741372739710371,527
1582741372761146122,534
1582741372783696795,531
1582741372807732633,531
1582741372830166786,532
1582741372852293214,534
1582741372874377045,528
1582741372898305618,532
1582741372920834269,531
1582741372943288945,529
1582741372966417079,530
1582741372988273436,539
1582741373012301619,533
1582741373033510705,535
1582741373057317899,531
1582741373079822351,535
1582741373103332691,532
1582741373125842480,528
1582741373147999494,532
1582741373171572279,527
1582741373194002254,523
1582741373216363078,524
1582741373239147821,534
1582741373261825462,534
1582741373284316338,538
1582741373308055423,532
1582741373330609864,528
1582741373353129591,536
1582741373375610174,534
1582741373398219557,538
1582741373420851885,533
1582741373443912184,533
1582741373466619162,531
1582741373490028813,534
1582741373512529396,533
1582741373535406759,531
1582741373557437654,528
1582741373580231491,530
1582741373602166876,534
1582741373624317172,528
1582741373647299333,531
1582741373671922968,530
1582741373694481481,534
1582741373718562054,531
1582741373739587628,531
1582741373763747235,535
1582741373786497565,532
1582741373809118247,532
1582741373830555581,532
1582741373854143636,529
1582741373876893702,528
1582741373899432272,528
1582741373922113285,523
1582741373944831276,526
1582741373967691122,530
1582741373991190236,527
1582741374012390756,533
1582741374036186088,530
1582741374059124524,532
1582741374081967479,534
1582741374104408724,535
1582741374127042607,537
1582741374149607894,528
1582741374173476432,524
1582741374195912801,533
1582741374218468575,529
1582741374240922610,528
1582741374263735198,536
1582741374287459744,530
1582741374308442405,530
1582741374331930613,530
1582741374354653035,531
1582741374377454519,529
1582741374401448947,529
1582741374422757394,529
1582741374445565322,533
1582741374468994549,533
1582741374491716229,532
1582741374514523199,529
1582741374537510773,529
1582741374560114338,531
1582741374583211956,529
1582741374604223514,527
1582741374628364582,532
1582741374651255191,532
1582741374674746022,536
1582741374695966537,532
1582741374718571014,528
1582741374742094818,524
1582741374765269616,525
1582741374787667083,532
1582741374810620495,536
1582741374833061675,532
1582741374856181651,528
1582741374879064300,528
1582741374901460467,530
1582741374923990919,528
1582741374946602665,536
1582741374970844965,534
1582741374991721219,538
1582741375015181632,534
1582741375039254201,536
1582741375060870736,538
1582741375081992801,537
1582741375105509456,535
