rosbagTimestamp,data
1582741371303225639,218
1582741371326003276,218
1582741371347683851,214
1582741371370687258,220
1582741371393678815,218
1582741371417548589,214
1582741371439385219,218
1582741371462432177,220
1582741371485674496,219
1582741371507850572,218
1582741371529722936,225
1582741371552988526,220
1582741371575241869,213
1582741371598422420,213
1582741371620251609,215
1582741371643969434,217
1582741371666770097,212
1582741371690443095,216
1582741371712294087,219
1582741371735301480,219
1582741371757812796,219
1582741371781675486,217
1582741371802825359,221
1582741371825689384,215
1582741371849443202,219
1582741371872243719,224
1582741371895403855,222
1582741371916555737,221
1582741371940552447,217
1582741371962641431,216
1582741371986554740,219
1582741372008122941,215
1582741372030469943,215
1582741372054103087,211
1582741372076769564,222
1582741372099240789,218
1582741372121946383,210
1582741372144896506,218
1582741372168631580,218
1582741372189669791,211
1582741372213271716,219
1582741372235998367,219
1582741372258546563,222
1582741372281405756,221
1582741372304021538,222
1582741372327711527,218
1582741372350119757,220
1582741372371599102,210
1582741372395153769,221
1582741372417786153,216
1582741372441621408,220
1582741372463277445,225
1582741372486182803,222
1582741372508665526,216
1582741372532440793,216
1582741372555126032,222
1582741372577542591,216
1582741372600033915,217
1582741372622507339,219
1582741372646296989,222
1582741372667788050,218
1582741372691526583,214
1582741372713896189,222
1582741372737747207,219
1582741372759283563,217
1582741372781937538,221
1582741372805785092,216
1582741372828404249,214
1582741372850211509,215
1582741372872519324,220
1582741372896489399,217
1582741372919003810,217
1582741372941473926,217
1582741372964627445,223
1582741372986648171,222
1582741373010520416,222
1582741373031684926,225
1582741373055483849,219
1582741373077836002,214
1582741373101513611,216
1582741373124093329,219
1582741373145954456,219
1582741373169852184,219
1582741373192195319,219
1582741373214598687,221
1582741373237270244,220
1582741373259955431,216
1582741373282376329,216
1582741373306093476,212
1582741373328723519,218
1582741373351428946,224
1582741373373681773,209
1582741373396726171,214
1582741373418953637,218
1582741373442063801,213
1582741373464764871,220
1582741373488254217,225
1582741373510709850,223
1582741373533392475,219
1582741373555674292,215
1582741373578797437,219
1582741373600920289,219
1582741373623066521,226
1582741373645865732,221
1582741373670033752,217
1582741373692567515,225
1582741373716628963,221
1582741373737705501,215
1582741373762005939,215
1582741373784513340,219
1582741373807246451,218
1582741373828750635,216
1582741373852336408,218
1582741373875104911,221
1582741373897548061,219
1582741373920354232,215
1582741373942939086,215
1582741373965829659,224
1582741373989384463,216
1582741374010497812,219
1582741374034365727,223
1582741374057284462,215
1582741374080159617,215
1582741374102545555,215
1582741374125245974,219
1582741374147837492,217
1582741374171636147,215
1582741374194181550,218
1582741374216585977,221
1582741374239160361,221
1582741374261761671,220
1582741374285622825,217
1582741374306672042,217
1582741374330225082,219
1582741374352862195,217
1582741374375674545,217
1582741374399635639,219
1582741374421001474,219
1582741374443771754,214
1582741374467134076,218
1582741374489817237,218
1582741374512733924,217
1582741374535548974,217
1582741374558177414,213
1582741374581426426,217
1582741374602587429,217
1582741374626601898,218
1582741374649416204,214
1582741374672617094,217
1582741374694060141,223
1582741374716726799,215
1582741374740234628,213
1582741374763531379,218
1582741374785926034,216
1582741374808780060,219
1582741374831144341,216
1582741374854352350,217
1582741374877107635,221
1582741374899794438,218
1582741374922107145,214
1582741374944785972,214
1582741374968558479,218
1582741374989874886,218
1582741375013560759,221
1582741375037421165,215
1582741375059188534,219
1582741375080424002,214
1582741375103994471,218
1582741375127601024,215
1582741375150420674,216
1582741375173530394,218
1582741375195062225,218
1582741375217918412,218
1582741375240815272,215
1582741375264333954,219
1582741375286149649,223
1582741375308950370,218
1582741375331614060,218
1582741375355493412,215
1582741375376856071,215
1582741375400669045,216
1582741375423326973,220
1582741375445790758,220
1582741375469955938,214
1582741375491731013,221
1582741375514235745,216
1582741375536613213,218
1582741375560297186,218
1582741375582003163,212
1582741375605750938,219
1582741375628161089,223
1582741375650750256,222
1582741375673414953,222
1582741375696172184,218
1582741375718529103,220
1582741375742232621,216
1582741375763504312,212
1582741375787108327,222
1582741375809623384,218
1582741375833379206,210
1582741375856529359,218
1582741375877843940,215
1582741375901383828,213
1582741375923717112,221
1582741375947045522,216
1582741375969434196,224
1582741375991796899,216
1582741376015162383,218
1582741376037976001,219
1582741376060925882,218
1582741376083718641,215
1582741376106139089,214
1582741376128639630,226
1582741376151616666,223
1582741376173891925,220
1582741376197707399,220
1582741376220215468,220
1582741376243540730,219
1582741376265569368,225
1582741376288577727,222
1582741376310636719,222
1582741376334306918,219
1582741376355714852,221
1582741376379625638,221
1582741376401883963,216
1582741376425600935,220
1582741376448282471,213
1582741376469758359,222
1582741376492847489,218
1582741376516583471,219
1582741376539076120,216
1582741376560590591,221
1582741376584463050,217
1582741376606893432,216
1582741376630671317,212
1582741376651734420,212
1582741376674748980,214
1582741376698081868,213
