rosbagTimestamp,layout,dim,data_offset,data
1540323508649917639,,[],0,"[270.5896911621094, 190.0, 97.05087280273438, 6.0, 18.0, 356.5393371582031, 0.0, 0.0, 0.0, 0.0]"
1540323508700137349,,[],0,"[270.5935363769531, 190.0, 97.03340148925781, 6.0, 18.0, 356.5885314941406, 0.0, 0.0, 0.0, 0.0]"
1540323508749924331,,[],0,"[270.5946960449219, 190.0, 96.988525390625, 6.0, 18.0, 356.58245849609375, 0.0, 0.0, 0.0, 0.0]"
1540323508799823242,,[],0,"[270.5967712402344, 190.0, 96.98797607421875, 6.0, 18.0, 356.61920166015625, 0.0, 0.0, 0.0, 0.0]"
1540323508849937793,,[],0,"[270.5954895019531, 190.0, 97.04696655273438, 6.0, 18.0, 356.6178283691406, 0.0, 0.0, 0.0, 0.0]"
1540323508900093695,,[],0,"[270.6004638671875, 190.0, 97.08372497558594, 6.0, 18.0, 356.78564453125, 0.0, 0.0, 0.0, 0.0]"
1540323508950159380,,[],0,"[270.6004638671875, 190.0, 97.08432006835938, 6.0, 18.0, 356.886474609375, 0.0, 0.0, 0.0, 0.0]"
1540323509000029611,,[],0,"[270.6004638671875, 190.0, 97.08539581298828, 6.0, 18.0, 356.9472351074219, 0.0, 0.0, 0.0, 0.0]"
1540323509050015477,,[],0,"[270.5984191894531, 190.0, 97.07927703857422, 6.0, 18.0, 357.0736999511719, 0.0, 0.0, 0.0, 0.0]"
1540323509100148289,,[],0,"[270.5965576171875, 190.0, 97.07942199707031, 6.0, 18.0, 357.151123046875, 0.0, 0.0, 0.0, 0.0]"
1540323509150181697,,[],0,"[270.59820556640625, 190.0, 97.07640838623047, 6.0, 18.0, 357.2143859863281, 0.0, 0.0, 0.0, 0.0]"
1540323509199953308,,[],0,"[270.59820556640625, 190.0, 97.07785034179688, 6.0, 18.0, 357.22991943359375, 0.0, 0.0, 0.0, 0.0]"
1540323509250099150,,[],0,"[270.5998840332031, 190.0, 97.07920837402344, 6.0, 18.0, 357.20172119140625, 0.0, 0.0, 0.0, 0.0]"
1540323509300353817,,[],0,"[270.5998840332031, 190.0, 97.07942199707031, 6.0, 18.0, 357.198974609375, 0.0, 0.0, 0.0, 0.0]"
1540323509350480570,,[],0,"[270.59820556640625, 190.0, 97.06786346435547, 6.0, 18.0, 357.25848388671875, 0.0, 0.0, 0.0, 0.0]"
1540323509399994108,,[],0,"[270.60198974609375, 190.0, 97.06106567382812, 6.0, 18.0, 357.34979248046875, 0.0, 0.0, 0.0, 0.0]"
1540323509450035986,,[],0,"[270.59869384765625, 190.0, 97.02803039550781, 6.0, 18.0, 357.3587341308594, 0.0, 0.0, 0.0, 0.0]"
1540323509499933559,,[],0,"[270.6053771972656, 190.0, 97.08171081542969, 6.0, 18.0, 357.4542236328125, 0.0, 0.0, 0.0, 0.0]"
1540323509549994849,,[],0,"[270.60662841796875, 190.0, 97.07644653320312, 6.0, 18.0, 357.48516845703125, 0.0, 0.0, 0.0, 0.0]"
1540323509600337250,,[],0,"[270.60003662109375, 190.0, 97.08696746826172, 6.0, 18.0, 357.475830078125, 0.0, 0.0, 0.0, 0.0]"
1540323509650167260,,[],0,"[270.59344482421875, 190.0, 97.12531280517578, 6.0, 18.0, 357.61029052734375, 0.0, 0.0, 0.0, 0.0]"
1540323509699970978,,[],0,"[270.59197998046875, 190.0, 97.14495849609375, 6.0, 18.0, 357.66339111328125, 0.0, 0.0, 0.0, 0.0]"
1540323509750185980,,[],0,"[270.5946350097656, 190.0, 97.13819122314453, 6.0, 18.0, 357.7059326171875, 0.0, 0.0, 0.0, 0.0]"
1540323509800109921,,[],0,"[270.5986328125, 190.0, 97.17831420898438, 6.0, 18.0, 357.65155029296875, 0.0, 0.0, 0.0, 0.0]"
1540323509850123804,,[],0,"[270.5913391113281, 190.0, 97.2481689453125, 6.0, 18.0, 357.63507080078125, 0.0, 0.0, 0.0, 0.0]"
1540323509900440831,,[],0,"[270.5888671875, 190.0, 97.5141830444336, 6.0, 18.0, 357.71868896484375, 0.0, 0.0, 0.0, 0.0]"
1540323509949777104,,[],0,"[270.5919494628906, 190.0, 97.72294616699219, 6.0, 18.0, 357.4454345703125, 0.0, 0.0, 0.0, 0.0]"
